snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1614021688,0,180,33.94737,-118.40369,33581,0,0000
1614021840,0,185,33.94759,-118.40353,3021,4,2061
1614021853,0,135,33.94781,-118.40345,3021,3,2061
1614021870,0,98,33.94801,-118.40369,3021,4,2061
1614021888,0,81,33.94805,-118.40391,3021,1,2061
1614021938,0,180,33.94766,-118.40348,3021,0,2061
1614021984,0,180,33.94804,-118.40391,3021,0,2061
1614022290,0,81,33.94807,-118.40368,3021,3,2061
1614022308,0,84,33.94809,-118.40347,3021,3,2061
1614022318,0,81,33.94811,-118.40324,3021,4,2061
1614022330,0,56,33.94825,-118.40301,3021,5,2061
1614022339,0,28,33.94845,-118.40292,3021,5,2061
1614022347,0,2,33.94870,-118.40293,3021,7,2061
1614022354,0,22,33.94893,-118.40284,3021,8,2061
1614022360,0,56,33.94902,-118.40262,3021,8,2061
1614022364,0,75,33.94905,-118.40241,3021,8,2061
1614022369,0,84,33.94905,-118.40218,3021,9,2061
1614022377,0,84,33.94909,-118.40170,3021,10,2061
1614022381,0,84,33.94912,-118.40147,3021,11,2061
1614022387,0,84,33.94916,-118.40106,3021,12,2061
1614022392,0,84,33.94918,-118.40076,3021,9,2061
1614022400,0,84,33.94923,-118.40039,3021,10,2061
1614022407,0,84,33.94927,-118.39995,3021,11,2061
1614022413,0,78,33.94933,-118.39957,3021,9,2061
1614022420,0,61,33.94945,-118.39932,3021,8,2061
1614022429,0,28,33.94972,-118.39914,3021,7,2061
1614022435,0,8,33.94993,-118.39913,3021,8,2061
1614022440,0,357,33.95013,-118.39915,3021,8,2061
1614022448,0,351,33.95041,-118.39919,3021,6,2061
1614022457,0,303,33.95048,-118.39941,3021,5,2061
1614022467,0,264,33.95039,-118.39966,3021,4,2061
1614022473,0,264,33.94931,-118.39964,3021,5,2061
1614022508,0,262,33.94896,-118.41345,40453,148,2061
1614022513,0,262,33.94850,-118.41843,40453,169,2061
1614022520,175,262,33.94780,-118.42500,40453,179,2061
1614022525,450,261,33.94707,-118.43077,40453,181,2061
1614022530,675,260,33.94650,-118.43491,40453,181,2061
1614022538,1150,260,33.94528,-118.44321,40453,183,2061
1614022544,1400,260,33.94450,-118.44921,40453,185,2061
1614022550,1550,260,33.94375,-118.45516,40453,186,2061
1614022556,1675,262,33.94304,-118.46171,40453,190,2061
1614022561,1750,263,33.94240,-118.46764,40453,196,2061
1614022570,1900,252,33.94054,-118.47656,41462,205,2061
1614022573,1975,246,33.93910,-118.48021,2120,208,2061
1614022574,1975,245,33.93869,-118.48116,40453,209,2061
1614022576,2025,241,33.93798,-118.48263,41462,211,2061
1614022577,2025,239,33.93742,-118.48372,40453,211,2061
1614022580,2100,234,33.93537,-118.48692,40453,215,2061
1614022583,2125,231,33.93375,-118.48929,40453,216,2061
1614022584,2150,229,33.93265,-118.49080,309,218,2061
1614022586,2175,228,33.93127,-118.49252,40453,220,2061
1614022588,2200,227,33.92990,-118.49433,2685,222,2061
1614022591,2225,226,33.92764,-118.49710,2120,227,2061
1614022595,2275,225,33.92457,-118.50076,40453,233,2061
1614022596,2275,224,33.92345,-118.50208,309,237,2061
1614022598,2300,223,33.92224,-118.50346,40453,239,2061
1614022601,2300,223,33.92020,-118.50577,40453,244,2061
1614022602,2300,223,33.91873,-118.50739,309,246,2061
1614022603,2325,222,33.91787,-118.50838,2120,251,2061
1614022605,2350,222,33.91640,-118.50997,309,252,2061
1614022609,2425,219,33.91269,-118.51356,41462,258,2061
1614022610,2450,217,33.91154,-118.51446,40453,259,2061
1614022612,2475,214,33.90939,-118.51602,2120,261,2061
1614022613,2525,212,33.90811,-118.51692,40453,261,2061
1614022616,2625,208,33.90463,-118.51888,40453,262,2061
1614022618,2675,205,33.90292,-118.51982,41462,264,2061
1614022619,2675,204,33.90232,-118.52005,40453,265,2061
1614022622,2800,201,33.89762,-118.52217,40453,268,2061
1614022625,2850,198,33.89510,-118.52314,40453,271,2061
1614022628,2975,195,33.89049,-118.52454,40453,271,2061
1614022636,3300,188,33.88092,-118.52617,41462,272,2061
1614022639,3425,184,33.87718,-118.52646,41462,273,2061
1614022641,3550,182,33.87369,-118.52656,309,273,2061
1614022642,3600,181,33.87239,-118.52657,1746,273,2061
1614022644,3700,180,33.86997,-118.52657,309,273,2061
1614022647,3850,179,33.86586,-118.52651,309,273,2061
1614022651,4000,179,33.86145,-118.52646,2120,274,2061
1614022657,4325,178,33.85327,-118.52617,1746,273,2061
1614022660,4450,177,33.85048,-118.52605,309,273,2061
1614022672,5125,177,33.83556,-118.52520,309,268,2061
1614022690,6050,177,33.81326,-118.52393,309,266,2061
1614022702,6525,179,33.79758,-118.52354,2120,272,2061
1614022720,7275,178,33.77463,-118.52314,2120,276,2061
1614022735,7875,178,33.75503,-118.52263,1746,279,2061
1614022756,8775,178,33.72845,-118.52165,309,279,2061
1614022765,9150,167,33.71773,-118.51939,309,277,2061
1614022769,9300,161,33.71292,-118.51748,1746,277,2061
1614022777,9575,147,33.70303,-118.51126,41462,282,2061
1614022786,9850,132,33.69446,-118.50180,41462,286,2061
1614022792,10025,121,33.68985,-118.49373,41462,291,2061
1614022798,10125,113,33.68636,-118.48451,309,295,2061
1614022807,10325,109,33.68222,-118.47078,41462,301,2061
1614022813,10475,108,33.67946,-118.46104,309,306,2061
1614022819,10600,108,33.67662,-118.45111,41462,311,2061
1614022831,10825,109,33.67086,-118.43118,309,321,2061
1614022844,11050,109,33.66454,-118.40969,1746,330,2061
1614022867,11575,109,33.65218,-118.36799,20621,346,2061
1614022879,11825,104,33.64675,-118.34558,41462,354,2061
1614022885,11950,96,33.64531,-118.33312,309,361,2061
1614022894,12225,90,33.64493,-118.31514,309,363,2061
1614022899,12450,90,33.64493,-118.30536,42084,362,2061
1614022909,12900,90,33.64493,-118.28533,41462,361,2061
1614022945,14100,90,33.64489,-118.21346,42014,368,2061
1614022977,15225,90,33.64489,-118.14714,9281,372,2061
1614023005,15950,90,33.64481,-118.08868,9281,383,2061
1614023066,17950,90,33.64465,-117.95843,2163,390,2061
1614023108,19250,90,33.64442,-117.86711,2163,394,2061
1614023157,20800,105,33.63560,-117.76128,42232,396,2061
1614023231,22925,106,33.59698,-117.60407,41012,401,2061
1614023318,24800,106,33.54987,-117.41375,42177,418,2061
1614023393,26975,101,33.51036,-117.24757,32535,411,2061
1614023414,27350,94,33.50514,-117.19984,42177,415,2061
1614023455,28225,90,33.50349,-117.10827,32535,416,2061
1614023545,30475,90,33.50044,-116.90086,1746,409,2061
1614023560,30800,91,33.49988,-116.86684,1746,409,2061
