version,version_season,season_name,season,palette
US,US01,Survivor: Borneo,1.0,#9FB8A2
US,US01,Survivor: Borneo,1.0,#3AA845
US,US01,Survivor: Borneo,1.0,#305844
US,US01,Survivor: Borneo,1.0,#191717
US,US01,Survivor: Borneo,1.0,#2282CC
US,US02,Survivor: The Australian Outback,2.0,#F1E48A
US,US02,Survivor: The Australian Outback,2.0,#F58406
US,US02,Survivor: The Australian Outback,2.0,#932306
US,US02,Survivor: The Australian Outback,2.0,#4B0A06
US,US02,Survivor: The Australian Outback,2.0,#060304
US,US03,Survivor: Africa,3.0,#F18A2E
US,US03,Survivor: Africa,3.0,#B02930
US,US03,Survivor: Africa,3.0,#5D3828
US,US03,Survivor: Africa,3.0,#085D33
US,US03,Survivor: Africa,3.0,#050304
US,US04,Survivor: Marquesas,4.0,#73CAE0
US,US04,Survivor: Marquesas,4.0,#0DB3DA
US,US04,Survivor: Marquesas,4.0,#6A3A99
US,US04,Survivor: Marquesas,4.0,#016E36
US,US04,Survivor: Marquesas,4.0,#000001
US,US05,Survivor: Thailand,5.0,#724446
US,US05,Survivor: Thailand,5.0,#B63333
US,US05,Survivor: Thailand,5.0,#DB6431
US,US05,Survivor: Thailand,5.0,#E79937
US,US05,Survivor: Thailand,5.0,#331540
US,US06,Survivor: The Amazon,6.0,#0EB0F4
US,US06,Survivor: The Amazon,6.0,#099350
US,US06,Survivor: The Amazon,6.0,#076030
US,US06,Survivor: The Amazon,6.0,#050304
US,US06,Survivor: The Amazon,6.0,#F28805
US,US07,Survivor: Pearl Islands,7.0,#5A84BF
US,US07,Survivor: Pearl Islands,7.0,#4B2F27
US,US07,Survivor: Pearl Islands,7.0,#060405
US,US07,Survivor: Pearl Islands,7.0,#9E0B07
US,US07,Survivor: Pearl Islands,7.0,#E2A321
US,US08,Survivor: All-Stars,8.0,#177937
US,US08,Survivor: All-Stars,8.0,#020403
US,US08,Survivor: All-Stars,8.0,#0184E6
US,US08,Survivor: All-Stars,8.0,#00F5F2
US,US08,Survivor: All-Stars,8.0,#F1A10F
US,US09,Survivor: Vanuatu,9.0,#B6C280
US,US09,Survivor: Vanuatu,9.0,#D24D0B
US,US09,Survivor: Vanuatu,9.0,#472E25
US,US09,Survivor: Vanuatu,9.0,#090706
US,US09,Survivor: Vanuatu,9.0,#010102
US,US10,Survivor: Palau,10.0,#BBB69B
US,US10,Survivor: Palau,10.0,#607035
US,US10,Survivor: Palau,10.0,#172706
US,US10,Survivor: Palau,10.0,#029F9B
US,US10,Survivor: Palau,10.0,#F6D10A
US,US11,Survivor: Guatemala,11.0,#B6AC7A
US,US11,Survivor: Guatemala,11.0,#696455
US,US11,Survivor: Guatemala,11.0,#20635E
US,US11,Survivor: Guatemala,11.0,#1FA08E
US,US11,Survivor: Guatemala,11.0,#262726
US,US12,Survivor: Panama,12.0,#76417E
US,US12,Survivor: Panama,12.0,#582B24
US,US12,Survivor: Panama,12.0,#030202
US,US12,Survivor: Panama,12.0,#DF2825
US,US12,Survivor: Panama,12.0,#F3901D
US,US13,Survivor: Cook Islands,13.0,#4E96BF
US,US13,Survivor: Cook Islands,13.0,#4E4742
US,US13,Survivor: Cook Islands,13.0,#982628
US,US13,Survivor: Cook Islands,13.0,#D69744
US,US13,Survivor: Cook Islands,13.0,#110D0C
US,US14,Survivor: Fiji,14.0,#9D9798
US,US14,Survivor: Fiji,14.0,#5D4124
US,US14,Survivor: Fiji,14.0,#0A0608
US,US14,Survivor: Fiji,14.0,#C6180B
US,US14,Survivor: Fiji,14.0,#F0C40E
US,US15,Survivor: China,15.0,#AD724C
US,US15,Survivor: China,15.0,#62341A
US,US15,Survivor: China,15.0,#0D0706
US,US15,Survivor: China,15.0,#F10303
US,US15,Survivor: China,15.0,#EBC00B
US,US16,Survivor: Micronesia,16.0,#907444
US,US16,Survivor: Micronesia,16.0,#1F6365
US,US16,Survivor: Micronesia,16.0,#279B9C
US,US16,Survivor: Micronesia,16.0,#272513
US,US16,Survivor: Micronesia,16.0,#E9CA3B
US,US17,Survivor: Gabon,17.0,#A0AA8F
US,US17,Survivor: Gabon,17.0,#C9A50C
US,US17,Survivor: Gabon,17.0,#3B4224
US,US17,Survivor: Gabon,17.0,#050706
US,US17,Survivor: Gabon,17.0,#108A47
US,US18,Survivor: Tocantins,18.0,#D9BC73
US,US18,Survivor: Tocantins,18.0,#838459
US,US18,Survivor: Tocantins,18.0,#524321
US,US18,Survivor: Tocantins,18.0,#090C07
