,date,tweet,retweet
0,2009-05-04,2.0,
1,2009-05-08,2.0,
2,2009-05-12,2.0,
3,2009-05-13,1.0,
4,2009-05-14,1.0,
5,2009-05-15,1.0,
6,2009-05-16,1.0,
7,2009-05-17,1.0,
8,2009-05-18,1.0,
9,2009-05-19,1.0,
10,2009-05-20,2.0,
11,2009-05-21,1.0,
12,2009-05-22,1.0,
13,2009-05-23,1.0,
14,2009-05-26,1.0,
15,2009-05-27,1.0,
16,2009-05-28,1.0,
17,2009-06-03,1.0,
18,2009-06-05,1.0,
19,2009-06-08,1.0,
20,2009-06-14,1.0,
21,2009-06-15,1.0,
22,2009-06-18,1.0,
23,2009-06-21,1.0,
24,2009-06-23,1.0,
25,2009-06-24,1.0,
26,2009-06-26,1.0,
27,2009-06-30,1.0,
28,2009-07-04,1.0,
29,2009-07-13,1.0,
30,2009-07-15,1.0,
31,2009-07-22,1.0,
32,2009-07-28,1.0,
33,2009-08-04,1.0,
34,2009-08-11,1.0,
35,2009-08-14,1.0,
36,2009-08-20,1.0,
37,2009-08-21,1.0,
38,2009-08-23,1.0,
39,2009-08-29,1.0,
40,2009-09-01,1.0,
41,2009-09-14,1.0,
42,2009-09-29,1.0,
43,2009-10-05,1.0,
44,2009-10-14,1.0,
45,2009-10-22,1.0,
46,2009-10-27,1.0,
47,2009-11-02,1.0,
48,2009-11-16,1.0,
49,2009-11-26,1.0,
50,2009-12-03,1.0,
51,2009-12-23,1.0,
52,2010-01-12,1.0,
53,2010-01-15,1.0,
54,2010-01-21,1.0,
55,2010-01-22,1.0,
56,2010-02-07,1.0,
57,2010-02-10,1.0,
58,2010-02-11,1.0,
59,2010-02-26,1.0,
60,2010-03-05,1.0,
61,2010-03-12,1.0,
62,2010-03-15,1.0,
63,2010-03-17,1.0,
64,2010-03-18,1.0,
65,2010-03-19,1.0,
66,2010-03-23,1.0,
67,2010-03-24,1.0,
68,2010-03-29,1.0,
69,2010-03-31,1.0,
70,2010-04-01,1.0,
71,2010-04-06,3.0,
72,2010-04-07,1.0,
73,2010-04-09,1.0,
74,2010-04-12,1.0,
75,2010-04-13,1.0,
76,2010-04-14,1.0,
77,2010-04-16,1.0,
78,2010-04-20,1.0,
79,2010-04-21,1.0,
80,2010-04-22,1.0,
81,2010-04-23,1.0,
82,2010-04-26,1.0,
83,2010-04-28,1.0,
84,2010-04-29,1.0,
85,2010-04-30,1.0,
86,2010-05-03,3.0,
87,2010-05-05,1.0,
88,2010-05-13,1.0,
89,2010-05-17,1.0,
90,2010-05-19,1.0,
91,2010-05-20,2.0,
92,2010-05-21,1.0,
93,2010-05-24,1.0,
94,2010-05-25,2.0,
95,2010-05-26,2.0,
96,2010-05-27,1.0,
97,2010-05-28,1.0,
98,2010-06-02,1.0,
99,2010-06-04,2.0,
100,2010-06-05,1.0,
101,2010-06-08,1.0,
102,2010-06-09,2.0,
103,2010-06-10,1.0,
104,2010-06-15,2.0,
105,2010-06-17,2.0,
106,2010-06-21,2.0,
107,2010-06-22,1.0,
108,2010-06-24,1.0,
109,2010-06-28,1.0,
110,2010-07-01,1.0,
111,2010-07-02,2.0,
112,2010-07-06,1.0,
113,2010-07-14,1.0,
114,2010-07-19,3.0,
115,2010-07-20,1.0,
116,2010-07-29,3.0,
117,2010-07-30,1.0,
118,2010-08-04,2.0,
119,2010-08-09,1.0,
120,2010-08-12,6.0,
121,2010-08-19,2.0,
122,2010-08-23,1.0,
123,2010-08-24,1.0,
124,2010-08-26,1.0,
125,2010-08-30,1.0,
126,2010-08-31,1.0,
127,2010-09-01,1.0,
128,2010-09-02,2.0,
129,2010-09-07,2.0,
130,2010-09-09,1.0,
131,2010-09-14,1.0,
