,date,count
0,2015-06-01,33
1,2015-06-02,8
2,2015-06-03,14
3,2015-06-04,24
4,2015-06-05,27
5,2015-06-06,14
6,2015-06-07,9
7,2015-06-08,2
8,2015-06-09,8
9,2015-06-10,1
10,2015-06-11,20
11,2015-06-12,33
12,2015-06-13,5
13,2015-06-14,11
14,2015-06-15,16
15,2015-06-16,35
16,2015-06-17,6
17,2015-06-18,7
18,2015-06-19,29
19,2015-06-20,10
20,2015-06-21,35
21,2015-06-22,29
22,2015-06-23,9
23,2015-06-24,27
24,2015-06-25,8
25,2015-06-26,5
26,2015-06-27,14
27,2015-06-28,34
28,2015-06-29,37
29,2015-06-30,15
30,2015-07-01,16
31,2015-07-02,60
32,2015-07-03,42
33,2015-07-04,45
34,2015-07-05,21
35,2015-07-06,11
36,2015-07-07,10
37,2015-07-08,17
38,2015-07-09,37
39,2015-07-10,14
40,2015-07-11,25
41,2015-07-12,10
42,2015-07-13,16
43,2015-07-14,20
44,2015-07-15,8
45,2015-07-16,38
46,2015-07-17,25
47,2015-07-18,28
48,2015-07-19,23
49,2015-07-20,55
50,2015-07-21,30
51,2015-07-22,29
52,2015-07-23,25
53,2015-07-24,23
54,2015-07-25,45
55,2015-07-26,25
56,2015-07-27,34
57,2015-07-28,17
58,2015-07-29,24
59,2015-07-30,10
60,2015-07-31,7
61,2015-08-01,1
62,2015-08-02,21
63,2015-08-03,27
64,2015-08-04,16
65,2015-08-05,30
66,2015-08-06,10
67,2015-08-07,41
68,2015-08-08,6
69,2015-08-09,12
70,2015-08-10,17
71,2015-08-11,7
72,2015-08-12,2
73,2015-08-13,4
74,2015-08-14,1
75,2015-08-15,5
76,2015-08-17,14
77,2015-08-18,14
78,2015-08-19,7
79,2015-08-20,9
80,2015-08-21,10
81,2015-08-22,11
82,2015-08-23,2
83,2015-08-24,28
84,2015-08-25,21
85,2015-08-26,4
86,2015-08-27,13
87,2015-08-28,7
88,2015-08-29,7
89,2015-08-31,11
90,2015-09-01,17
91,2015-09-02,14
92,2015-09-03,6
93,2015-09-04,5
94,2015-09-05,11
95,2015-09-06,28
96,2015-09-07,8
97,2015-09-08,16
98,2015-09-09,5
99,2015-09-10,4
100,2015-09-11,15
101,2015-09-12,40
102,2015-09-13,1
103,2015-09-14,11
104,2015-09-15,18
105,2015-09-16,7
106,2015-09-17,5
107,2015-09-18,5
108,2015-09-19,9
109,2015-09-20,9
110,2015-09-21,63
111,2015-09-22,20
112,2015-09-23,7
113,2015-09-24,16
114,2015-09-25,14
115,2015-09-26,11
116,2015-09-27,13
117,2015-09-28,12
118,2015-09-29,5
119,2015-09-30,19
120,2015-10-01,20
121,2015-10-02,23
122,2015-10-03,17
123,2015-10-04,21
124,2015-10-05,17
125,2015-10-06,38
126,2015-10-07,17
127,2015-10-08,24
128,2015-10-09,32
