,date,2020,2019
1,2020-04-27,119854,2412770
2,2020-04-26,128875,2506809
3,2020-04-25,114459,1990464
4,2020-04-24,123464,2521897
5,2020-04-23,111627,2526961
6,2020-04-22,98968,2254209
7,2020-04-21,92859,2227475
8,2020-04-20,99344,2594171
9,2020-04-19,105382,2356802
10,2020-04-18,97236,1988205
11,2020-04-17,106385,2457133
12,2020-04-16,95085,2616158
13,2020-04-15,90784,2317381
14,2020-04-14,87534,2208688
15,2020-04-13,102184,2484580
16,2020-04-12,90510,2446801
17,2020-04-11,93645,2059142
18,2020-04-10,108977,2590499
19,2020-04-09,104090,2487398
20,2020-04-08,94931,2229276
21,2020-04-07,97130,2091056
22,2020-04-06,108310,2384091
23,2020-04-05,122029,2462929
24,2020-04-04,118302,2011715
25,2020-04-03,129763,2476884
26,2020-04-02,124021,2411500
27,2020-04-01,136023,2151626
28,2020-03-31,146348,2026256
29,2020-03-30,154080,2360053
30,2020-03-29,180002,2510294
31,2020-03-28,184027,2172920
32,2020-03-27,199644,2538384
33,2020-03-26,203858,2487162
34,2020-03-25,239234,2273811
35,2020-03-24,279018,2151913
36,2020-03-23,331431,2434370
37,2020-03-22,454516,2542643
38,2020-03-21,548132,2227181
39,2020-03-20,593167,2559307
40,2020-03-19,620883,2513231
41,2020-03-18,779631,2320885
42,2020-03-17,953699,2177929
43,2020-03-16,1257823,2465709
44,2020-03-15,1519192,2545742
45,2020-03-14,1485553,2274658
46,2020-03-13,1714372,2634215
47,2020-03-12,1788456,2503924
48,2020-03-11,1702686,2187298
49,2020-03-10,1617220,2122898
50,2020-03-09,1909363,2378673
51,2020-03-08,2119867,2485430
52,2020-03-07,1844811,2156262
53,2020-03-06,2198517,2543689
54,2020-03-05,2130015,2402692
55,2020-03-04,1877401,2143619
56,2020-03-03,1736393,1979558
57,2020-03-02,2089641,2257920
58,2020-03-01,2280522,2301439
