index,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,year,month,day,hour,minute
56,1393040397602017281,1393040397602017280,2021-05-13 20:08:06 PDT,2021-05-13,20:08:06,-0700,17768442,karenkho,Karen K. Ho,,"what if instead of a doomscrolling reminder, I just told all of you it's important to write a to-list, moisturize regularly, go to sleep early, and charge your phone away from your bed",en,[],[],[],11,9,258,[],[],https://twitter.com/karenkho/status/1393040397602017281,False,,0,,,,,,,,[],,,,,2021,5,13,20,8
307,1392705739618242563,1392705739618242560,2021-05-12 21:58:18 PDT,2021-05-12,21:58:18,-0700,17768442,karenkho,Karen K. Ho,,"Hi, are you still doomscrolling?",en,[],[],[],10,0,85,[],[],https://twitter.com/karenkho/status/1392705739618242563,False,,0,,,,,,,,[],,,,,2021,5,12,21,58
544,1392342134863368192,1392342134863368192,2021-05-11 21:53:28 PDT,2021-05-11,21:53:28,-0700,17768442,karenkho,Karen K. Ho,,"Hi, are you still doomscrolling?",en,[],[],[],7,3,84,[],[],https://twitter.com/karenkho/status/1392342134863368192,False,,0,,,,,,,,[],,,,,2021,5,11,21,53
800,1391974300077416448,1391974300077416448,2021-05-10 21:31:49 PDT,2021-05-10,21:31:49,-0700,17768442,karenkho,Karen K. Ho,,"Hi, are you doomscrolling?",en,[],[],[],7,4,93,[],[],https://twitter.com/karenkho/status/1391974300077416448,False,,0,,,,,,,,[],,,,,2021,5,10,21,31
1084,1391594903214477313,1391594903214477312,2021-05-09 20:24:14 PDT,2021-05-09,20:24:14,-0700,17768442,karenkho,Karen K. Ho,,"Hi, are you doomscrolling?",en,[],[],[],16,3,102,[],[],https://twitter.com/karenkho/status/1391594903214477313,False,,0,,,,,,,,[],,,,,2021,5,9,20,24
1099,1391575191067693058,1391575191067693056,2021-05-09 19:05:54 PDT,2021-05-09,19:05:54,-0700,17768442,karenkho,Karen K. Ho,,"instead of a doomscrolling reminder, I'm just going to encourage you to go to sleep early tonight. You deserve extra time to rest.",en,[],[],[],2,9,306,[],[],https://twitter.com/karenkho/status/1391575191067693058,False,,0,,,,,,,,[],,,,,2021,5,9,19,5
1287,1391233213855584257,1391233213855584256,2021-05-08 20:27:00 PDT,2021-05-08,20:27:00,-0700,17768442,karenkho,Karen K. Ho,,"Hi, are you doomscrolling?",en,[],[],[],14,1,93,[],[],https://twitter.com/karenkho/status/1391233213855584257,False,,0,,,,,,,,[],,,,,2021,5,8,20,27
1499,1390881349049925633,1390881349049925632,2021-05-07 21:08:49 PDT,2021-05-07,21:08:49,-0700,17768442,karenkho,Karen K. Ho,,"Hi, are you doomscrolling?",en,[],[],[],20,8,127,[],[],https://twitter.com/karenkho/status/1390881349049925633,False,,0,,,,,,,,[],,,,,2021,5,7,21,8
1673,1390672887892353029,1390672887892353024,2021-05-07 07:20:28 PDT,2021-05-07,07:20:28,-0700,17768442,karenkho,Karen K. Ho,,"I lost count of this phenomenon last year due to all the doomscrolling tweets but I also gained 28k followers (to which my sister asked, ""do you make any money from that?"")",en,[],[],[],1,1,50,[],[],https://twitter.com/karenkho/status/1390672887892353029,False,https://twitter.com/svershbow/status/1390469392182480898,0,,,,,,,,[],,,,,2021,5,7,7,20
1745,1390528281208934405,1390528281208934400,2021-05-06 21:45:51 PDT,2021-05-06,21:45:51,-0700,17768442,karenkho,Karen K. Ho,,"hi, are you still doomscrolling?",en,[],[],[],7,5,98,[],[],https://twitter.com/karenkho/status/1390528281208934405,False,,0,,,,,,,,[],,,,,2021,5,6,21,45
