year,month_year,date,day_count
2022,2022-10,2022-10-31,94790
2022,2022-10,2022-10-30,1334005
2022,2022-10,2022-10-29,1668445
2022,2022-10,2022-10-28,2524846
2022,2022-10,2022-10-27,799050
2022,2022-10,2022-10-26,517372
2022,2022-10,2022-10-25,234071
2022,2022-10,2022-10-24,156704
2022,2022-10,2022-10-23,228742
2022,2022-10,2022-10-22,184567
2022,2022-10,2022-10-21,305852
2022,2022-10,2022-10-20,258801
2022,2022-10,2022-10-19,360860
2022,2022-10,2022-10-18,575946
2022,2022-10,2022-10-17,800656
2022,2022-10,2022-10-16,878916
2022,2022-10,2022-10-15,539701
2022,2022-10,2022-10-14,393767
2022,2022-10,2022-10-13,277957
2022,2022-10,2022-10-12,388693
2022,2022-10,2022-10-11,252622
2022,2022-10,2022-10-10,227514
2022,2022-10,2022-10-09,314398
2022,2022-10,2022-10-08,224252
2022,2022-10,2022-10-07,382425
2022,2022-10,2022-10-06,543173
2022,2022-10,2022-10-05,427493
2022,2022-10,2022-10-04,767713
2022,2022-10,2022-10-03,920348
2022,2022-10,2022-10-02,180697
2022,2022-10,2022-10-01,252454
2022,2022-09,2022-09-30,148496
2022,2022-09,2022-09-29,183470
2022,2022-09,2022-09-28,168754
2022,2022-09,2022-09-27,139373
2022,2022-09,2022-09-26,125981
2022,2022-09,2022-09-25,134181
2022,2022-09,2022-09-24,141303
2022,2022-09,2022-09-23,235492
2022,2022-09,2022-09-22,164211
2022,2022-09,2022-09-21,148089
2022,2022-09,2022-09-20,148814
2022,2022-09,2022-09-19,156507
2022,2022-09,2022-09-18,117575
2022,2022-09,2022-09-17,108460
2022,2022-09,2022-09-16,68774
2022,2022-09,2022-09-15,81122
2022,2022-09,2022-09-14,146611
2022,2022-09,2022-09-13,172277
2022,2022-09,2022-09-12,122036
2022,2022-09,2022-09-11,86232
2022,2022-09,2022-09-10,96798
2022,2022-09,2022-09-09,88691
2022,2022-09,2022-09-08,114978
2022,2022-09,2022-09-07,97383
2022,2022-09,2022-09-06,146651
2022,2022-09,2022-09-05,137340
2022,2022-09,2022-09-04,64083
2022,2022-09,2022-09-03,69188
2022,2022-09,2022-09-02,57689
2022,2022-09,2022-09-01,86700
2022,2022-08,2022-08-31,85368
2022,2022-08,2022-08-30,91300
2022,2022-08,2022-08-29,141314
2022,2022-08,2022-08-28,159817
2022,2022-08,2022-08-27,133312
2022,2022-08,2022-08-26,247082
2022,2022-08,2022-08-25,101592
2022,2022-08,2022-08-24,135984
2022,2022-08,2022-08-23,101169
