year,month_year,date,day_count
2022,2022-10,2022-10-30,16890
2022,2022-10,2022-10-29,7402
2022,2022-10,2022-10-28,5925
2022,2022-10,2022-10-27,970
2022,2022-10,2022-10-26,1074
2022,2022-10,2022-10-25,988
2022,2022-10,2022-10-24,987
2022,2022-10,2022-10-23,906
2022,2022-10,2022-10-22,813
2022,2022-10,2022-10-21,990
2022,2022-10,2022-10-20,1677
2022,2022-10,2022-10-19,5223
2022,2022-10,2022-10-18,861
2022,2022-10,2022-10-17,974
2022,2022-10,2022-10-16,2636
2022,2022-10,2022-10-15,6776
2022,2022-10,2022-10-14,4115
2022,2022-10,2022-10-13,777
2022,2022-10,2022-10-12,1002
2022,2022-10,2022-10-11,1568
2022,2022-10,2022-10-10,988
2022,2022-10,2022-10-09,1256
2022,2022-10,2022-10-08,2395
2022,2022-10,2022-10-07,10195
2022,2022-10,2022-10-06,3178
2022,2022-10,2022-10-05,1052
2022,2022-10,2022-10-04,1157
2022,2022-10,2022-10-03,981
2022,2022-10,2022-10-02,834
2022,2022-10,2022-10-01,815
2022,2022-09,2022-09-30,721
2022,2022-09,2022-09-29,784
2022,2022-09,2022-09-28,796
2022,2022-09,2022-09-27,1278
2022,2022-09,2022-09-26,1427
2022,2022-09,2022-09-25,840
2022,2022-09,2022-09-24,852
2022,2022-09,2022-09-23,776
2022,2022-09,2022-09-22,796
2022,2022-09,2022-09-21,945
2022,2022-09,2022-09-20,922
2022,2022-09,2022-09-19,967
2022,2022-09,2022-09-18,934
2022,2022-09,2022-09-17,830
2022,2022-09,2022-09-16,1033
2022,2022-09,2022-09-15,1222
2022,2022-09,2022-09-14,868
2022,2022-09,2022-09-13,2370
2022,2022-09,2022-09-12,8900
2022,2022-09,2022-09-11,6046
2022,2022-09,2022-09-10,2206
2022,2022-09,2022-09-09,1372
2022,2022-09,2022-09-08,1886
2022,2022-09,2022-09-07,1262
2022,2022-09,2022-09-06,763
2022,2022-09,2022-09-05,767
2022,2022-09,2022-09-04,776
2022,2022-09,2022-09-03,1340
2022,2022-09,2022-09-02,856
2022,2022-09,2022-09-01,842
2022,2022-08,2022-08-31,876
2022,2022-08,2022-08-30,883
2022,2022-08,2022-08-29,1626
2022,2022-08,2022-08-28,24129
2022,2022-08,2022-08-27,16618
2022,2022-08,2022-08-26,775
2022,2022-08,2022-08-25,740
2022,2022-08,2022-08-24,748
2022,2022-08,2022-08-23,784
2022,2022-08,2022-08-22,905
2022,2022-08,2022-08-21,650
2022,2022-08,2022-08-20,612
2022,2022-08,2022-08-19,1012
2022,2022-08,2022-08-18,1104
2022,2022-08,2022-08-17,1005
2022,2022-08,2022-08-16,633
2022,2022-08,2022-08-15,790
2022,2022-08,2022-08-14,677
2022,2022-08,2022-08-13,787
2022,2022-08,2022-08-12,789
2022,2022-08,2022-08-11,765
2022,2022-08,2022-08-10,1090
2022,2022-08,2022-08-09,957
2022,2022-08,2022-08-08,626
2022,2022-08,2022-08-07,767
2022,2022-08,2022-08-06,1168
2022,2022-08,2022-08-05,952
2022,2022-08,2022-08-04,591
2022,2022-08,2022-08-03,1062
2022,2022-08,2022-08-02,2620
2022,2022-08,2022-08-01,1278
2022,2022-07,2022-07-31,716
2022,2022-07,2022-07-30,710
2022,2022-07,2022-07-29,857
2022,2022-07,2022-07-28,888
2022,2022-07,2022-07-27,686
2022,2022-07,2022-07-26,687
2022,2022-07,2022-07-25,816
2022,2022-07,2022-07-24,674
2022,2022-07,2022-07-23,748
2022,2022-07,2022-07-22,710
2022,2022-07,2022-07-21,1109
2022,2022-07,2022-07-20,1029
2022,2022-07,2022-07-19,1051
2022,2022-07,2022-07-18,5394
2022,2022-07,2022-07-17,4966
2022,2022-07,2022-07-16,651
2022,2022-07,2022-07-15,623
2022,2022-07,2022-07-14,637
2022,2022-07,2022-07-13,675
2022,2022-07,2022-07-12,759
2022,2022-07,2022-07-11,2137
2022,2022-07,2022-07-10,4999
2022,2022-07,2022-07-09,2785
2022,2022-07,2022-07-08,2894
2022,2022-07,2022-07-07,3149
2022,2022-07,2022-07-06,866
2022,2022-07,2022-07-05,1269
2022,2022-07,2022-07-04,837
2022,2022-07,2022-07-03,766
2022,2022-07,2022-07-02,596
2022,2022-07,2022-07-01,1470
2022,2022-06,2022-06-30,4824
2022,2022-06,2022-06-29,1353
2022,2022-06,2022-06-28,4398
2022,2022-06,2022-06-27,5264
2022,2022-06,2022-06-26,4468
2022,2022-06,2022-06-25,1960
2022,2022-06,2022-06-24,2262
2022,2022-06,2022-06-23,819
2022,2022-06,2022-06-22,754
2022,2022-06,2022-06-21,801
2022,2022-06,2022-06-20,677
2022,2022-06,2022-06-19,796
2022,2022-06,2022-06-18,1201
2022,2022-06,2022-06-17,2105
2022,2022-06,2022-06-16,730
2022,2022-06,2022-06-15,800
2022,2022-06,2022-06-14,750
2022,2022-06,2022-06-13,837
2022,2022-06,2022-06-12,906
2022,2022-06,2022-06-11,659
2022,2022-06,2022-06-10,631
2022,2022-06,2022-06-09,675
2022,2022-06,2022-06-08,565
2022,2022-06,2022-06-07,696
