month_year,day_count
2022-05,2992
2022-04,4940
2022-03,7581
2022-02,6615
2022-01,4789
2021-12,4586
2021-11,2420
2021-10,2552
2021-09,2102
2021-08,2075
2021-07,2725
2021-06,2587
2021-05,2504
2021-04,1845
2021-03,2610
2021-02,4174
2021-01,4682
2020-12,3418
2020-11,2730
2020-10,2964
2020-09,3620
2020-08,2958
2020-07,3049
2020-06,6090
2020-05,3068
2020-04,3302
2020-03,3479
2020-02,3306
2020-01,2977
2019-12,2470
2019-11,2747
2019-10,3080
2019-09,2440
2019-08,2253
2019-07,3011
2019-06,2423
2019-05,2970
2019-04,3407
2019-03,3649
2019-02,2744
2019-01,2966
2018-12,3430
2018-11,3144
2018-10,3776
2018-09,4294
2018-08,8461
2018-07,5468
2018-06,4767
2018-05,3958
2018-04,4940
2018-03,8471
2018-02,4738
2018-01,4466
2017-12,4349
2017-11,4736
2017-10,4403
2017-09,4784
2017-08,8068
2017-07,5575
2017-06,4768
2017-05,5549
2017-04,5563
2017-03,7034
2017-02,5545
2017-01,7170
2016-12,11356
2016-11,5406
2016-10,6899
2016-09,6750
2016-08,6067
2016-07,7335
2016-06,11486
2016-05,15951
2016-04,5423
2016-03,7332
2016-02,6574
2016-01,10111
2015-12,7801
2015-11,11698
2015-10,12857
2015-09,8723
2015-08,5602
2015-07,7064
2015-06,5788
2015-05,7270
2015-04,10073
2015-03,20819
2015-02,5908
2015-01,5435
