start,end,day_count
2022-05-29T00:00:00.000Z,2022-05-30T00:00:00.000Z,1620
2022-05-30T00:00:00.000Z,2022-05-31T00:00:00.000Z,2057
2022-05-31T00:00:00.000Z,2022-06-01T00:00:00.000Z,4666
2022-06-01T00:00:00.000Z,2022-06-02T00:00:00.000Z,3067
2022-06-02T00:00:00.000Z,2022-06-03T00:00:00.000Z,8423
2022-06-03T00:00:00.000Z,2022-06-04T00:00:00.000Z,11992
2022-06-04T00:00:00.000Z,2022-06-05T00:00:00.000Z,22282
2022-06-05T00:00:00.000Z,2022-06-06T00:00:00.000Z,8495
2022-06-06T00:00:00.000Z,2022-06-07T00:00:00.000Z,10732
2022-06-07T00:00:00.000Z,2022-06-08T00:00:00.000Z,23441
2022-06-08T00:00:00.000Z,2022-06-09T00:00:00.000Z,27391
2022-06-09T00:00:00.000Z,2022-06-10T00:00:00.000Z,70030
2022-06-10T00:00:00.000Z,2022-06-11T00:00:00.000Z,181433
2022-06-11T00:00:00.000Z,2022-06-12T00:00:00.000Z,60908
2022-06-12T00:00:00.000Z,2022-06-13T00:00:00.000Z,31084
2022-06-13T00:00:00.000Z,2022-06-14T00:00:00.000Z,52592
2022-06-14T00:00:00.000Z,2022-06-15T00:00:00.000Z,53889
2022-06-15T00:00:00.000Z,2022-06-16T00:00:00.000Z,115110
2022-06-16T00:00:00.000Z,2022-06-17T00:00:00.000Z,93897
2022-06-17T00:00:00.000Z,2022-06-18T00:00:00.000Z,45713
2022-06-18T00:00:00.000Z,2022-06-19T00:00:00.000Z,18581
2022-06-19T00:00:00.000Z,2022-06-20T00:00:00.000Z,13822
2022-06-20T00:00:00.000Z,2022-06-21T00:00:00.000Z,27111
2022-06-21T00:00:00.000Z,2022-06-22T00:00:00.000Z,60498
2022-06-22T00:00:00.000Z,2022-06-23T00:00:00.000Z,50749
2022-06-23T00:00:00.000Z,2022-06-24T00:00:00.000Z,61492
2022-06-24T00:00:00.000Z,2022-06-25T00:00:00.000Z,54619
2022-06-25T00:00:00.000Z,2022-06-26T00:00:00.000Z,9001
2022-06-26T00:00:00.000Z,2022-06-27T00:00:00.000Z,6739
2022-06-27T00:00:00.000Z,2022-06-28T00:00:00.000Z,23435
2022-06-28T00:00:00.000Z,2022-06-28T19:26:33.000Z,48364
2022-04-28T00:00:00.000Z,2022-04-29T00:00:00.000Z,7773
2022-04-29T00:00:00.000Z,2022-04-30T00:00:00.000Z,32304
2022-04-30T00:00:00.000Z,2022-05-01T00:00:00.000Z,16051
2022-05-01T00:00:00.000Z,2022-05-02T00:00:00.000Z,5576
2022-05-02T00:00:00.000Z,2022-05-03T00:00:00.000Z,10649
2022-05-03T00:00:00.000Z,2022-05-04T00:00:00.000Z,4399
2022-05-04T00:00:00.000Z,2022-05-05T00:00:00.000Z,5568
2022-05-05T00:00:00.000Z,2022-05-06T00:00:00.000Z,1976
2022-05-06T00:00:00.000Z,2022-05-07T00:00:00.000Z,1880
2022-05-07T00:00:00.000Z,2022-05-08T00:00:00.000Z,2925
2022-05-08T00:00:00.000Z,2022-05-09T00:00:00.000Z,3003
2022-05-09T00:00:00.000Z,2022-05-10T00:00:00.000Z,2878
2022-05-10T00:00:00.000Z,2022-05-11T00:00:00.000Z,7086
2022-05-11T00:00:00.000Z,2022-05-12T00:00:00.000Z,3847
2022-05-12T00:00:00.000Z,2022-05-13T00:00:00.000Z,16807
2022-05-13T00:00:00.000Z,2022-05-14T00:00:00.000Z,11689
2022-05-14T00:00:00.000Z,2022-05-15T00:00:00.000Z,6196
2022-05-15T00:00:00.000Z,2022-05-16T00:00:00.000Z,1337
2022-05-16T00:00:00.000Z,2022-05-17T00:00:00.000Z,2031
2022-05-17T00:00:00.000Z,2022-05-18T00:00:00.000Z,10613
2022-05-18T00:00:00.000Z,2022-05-19T00:00:00.000Z,3893
2022-05-19T00:00:00.000Z,2022-05-20T00:00:00.000Z,7847
2022-05-20T00:00:00.000Z,2022-05-21T00:00:00.000Z,7446
