start,end,day_count
2022-04-03T00:00:00.000Z,2022-04-04T00:00:00.000Z,10613
2022-04-04T00:00:00.000Z,2022-04-05T00:00:00.000Z,6456
2022-04-05T00:00:00.000Z,2022-04-06T00:00:00.000Z,8873
2022-04-06T00:00:00.000Z,2022-04-07T00:00:00.000Z,17623
2022-04-07T00:00:00.000Z,2022-04-08T00:00:00.000Z,18296
2022-04-08T00:00:00.000Z,2022-04-09T00:00:00.000Z,12220
2022-04-09T00:00:00.000Z,2022-04-10T00:00:00.000Z,16284
2022-04-10T00:00:00.000Z,2022-04-11T00:00:00.000Z,18871
2022-04-11T00:00:00.000Z,2022-04-12T00:00:00.000Z,7551
2022-04-12T00:00:00.000Z,2022-04-13T00:00:00.000Z,12668
2022-04-13T00:00:00.000Z,2022-04-14T00:00:00.000Z,15088
2022-04-14T00:00:00.000Z,2022-04-15T00:00:00.000Z,14801
2022-04-15T00:00:00.000Z,2022-04-16T00:00:00.000Z,14642
2022-04-16T00:00:00.000Z,2022-04-17T00:00:00.000Z,6207
2022-04-17T00:00:00.000Z,2022-04-18T00:00:00.000Z,8696
2022-04-18T00:00:00.000Z,2022-04-19T00:00:00.000Z,7295
2022-04-19T00:00:00.000Z,2022-04-20T00:00:00.000Z,9065
2022-04-20T00:00:00.000Z,2022-04-21T00:00:00.000Z,7838
2022-04-21T00:00:00.000Z,2022-04-22T00:00:00.000Z,6294
2022-04-22T00:00:00.000Z,2022-04-23T00:00:00.000Z,7064
2022-04-23T00:00:00.000Z,2022-04-24T00:00:00.000Z,12821
2022-04-24T00:00:00.000Z,2022-04-25T00:00:00.000Z,4376
2022-04-25T00:00:00.000Z,2022-04-26T00:00:00.000Z,4721
2022-04-26T00:00:00.000Z,2022-04-27T00:00:00.000Z,7159
2022-04-27T00:00:00.000Z,2022-04-28T00:00:00.000Z,11058
2022-04-28T00:00:00.000Z,2022-04-29T00:00:00.000Z,8898
2022-04-29T00:00:00.000Z,2022-04-30T00:00:00.000Z,15012
2022-04-30T00:00:00.000Z,2022-05-01T00:00:00.000Z,10610
2022-05-01T00:00:00.000Z,2022-05-02T00:00:00.000Z,5757
2022-05-02T00:00:00.000Z,2022-05-03T00:00:00.000Z,10047
