timestamp,value,date
1630684800000,740.04,2021-09-03
1631289600000,827.35,2021-09-10
1631894400000,800.66,2021-09-17
1632499200000,846.56,2021-09-24
1633104000000,923.08,2021-10-01
1633708800000,996.32,2021-10-08
1634313600000,1019.47,2021-10-15
1634918400000,1013.7,2021-10-22
1635523200000,1017.87,2021-10-29
1636128000000,1048.23,2021-11-05
1636736400000,1094.35,2021-11-12
1637341200000,1107.33,2021-11-19
1637946000000,1117.65,2021-11-26
1638550800000,1072.87,2021-12-03
1639155600000,1081.83,2021-12-10
1639760400000,1087.53,2021-12-17
1641574800000,956.58,2022-01-07
1642179600000,906.66,2022-01-14
1642784400000,871.46,2022-01-21
1643389200000,811.7,2022-01-28
1643994000000,898.28,2022-02-04
1644598800000,866.92,2022-02-11
1645203600000,877.93,2022-02-18
1645808400000,891.5,2022-02-25
1646413200000,984.72,2022-03-04
1647018000000,1137.56,2022-03-11
1647619200000,1248.09,2022-03-18
1648224000000,1270.4,2022-03-25
1648828800000,1269.76,2022-04-01
1649433600000,1149.25,2022-04-08
1650038400000,1158.98,2022-04-15
1650643200000,1162.12,2022-04-22
1651248000000,1030.89,2022-04-29
1651852800000,1023.04,2022-05-06
1652457600000,1018.61,2022-05-13
1653062400000,1004.8,2022-05-20
1653667200000,968.09,2022-05-27
1654272000000,885.82,2022-06-03
1654876800000,861.34,2022-06-10
1655481600000,824.97,2022-06-17
1656086400000,868.27,2022-06-24
1656691200000,897.76,2022-07-01
1657296000000,889.6,2022-07-08
1657900800000,905.92,2022-07-15
1658505600000,862.92,2022-07-22
1659110400000,821.34,2022-07-29
1659715200000,907.36,2022-08-05
1660320000000,888.17,2022-08-12
1660924800000,871.42,2022-08-19
1661529600000,882.21,2022-08-26
1662134400000,982.63,2022-09-02
1662739200000,945.08,2022-09-09
1663344000000,950.24,2022-09-16
1663948800000,920.63,2022-09-23
1664553600000,905.89,2022-09-30
1665158400000,890.47,2022-10-07
1665763200000,891.53,2022-10-14
