location,precinct,vbm_only,registration,biden,trump,others,total_votes,biden_pct,trump_pct,others_pct,winner
ACTON,0050005A,N,1974,595,1207,28,1830,32.51,65.96,1.53,Trump
ACTON,0050014A,Y,697,185,376,9,570,32.46,65.96,1.58,Trump
ACTON,0050022A,Y,61,21,33,2,56,37.5,58.93,3.57,Trump
ACTON,0050024A,Y,0,1,0,0,1,100.0,0.0,0.0,Biden
ACTON,0050025A,Y,5,2,3,0,5,40.0,60.0,0.0,Trump
ACTON,0050026A,Y,0,0,1,0,1,0.0,100.0,0.0,Trump
ACTON,0050027A,Y,0,0,1,0,1,0.0,100.0,0.0,Trump
ACTON,0050028A,Y,0,0,0,0,0,,,,No votes
ACTON,0050052D,Y,0,0,0,0,0,,,,No votes
ACTON,0050056A,Y,0,0,1,0,1,0.0,100.0,0.0,Trump
ACTON,0050059A,N,1252,305,722,18,1045,29.19,69.09,1.72,Trump
ACTON,0050063A,N,2089,509,1217,30,1756,28.99,69.31,1.71,Trump
AGOURA,0070006A,N,2153,1231,575,43,1849,66.58,31.1,2.33,Biden
AGOURA,0070008A,Y,1041,501,386,7,894,56.04,43.18,0.78,Biden
AGOURA,0070041A,N,1429,696,503,29,1228,56.68,40.96,2.36,Biden
AGOURA HILLS,0080001A,N,2556,1493,785,34,2312,64.58,33.95,1.47,Biden
AGOURA HILLS,0080012A,N,2807,1590,880,34,2504,63.5,35.14,1.36,Biden
AGOURA HILLS,0080043A,N,2839,1440,903,45,2388,60.3,37.81,1.88,Biden
AGOURA HILLS,0080047A,N,1932,1072,552,32,1656,64.73,33.33,1.93,Biden
AGOURA HILLS,0080050A,N,2326,1246,746,45,2037,61.17,36.62,2.21,Biden
AGOURA HILLS,0080052A,N,2622,1475,745,47,2267,65.06,32.86,2.07,Biden
AGUA DULCE,0090002A,Y,0,1,0,0,1,100.0,0.0,0.0,Biden
AGUA DULCE,0090003A,N,2446,674,1398,30,2102,32.06,66.51,1.43,Trump
AGUA DULCE,0090005B,Y,150,46,67,2,115,40.0,58.26,1.74,Trump
