county,mail_out,provisional_out,cond_prov_out,other_out,total_out,updated
Alameda,9353,0,100,0,9453,2020-11-10 16:56:00
Alpine,8,0,0,2,10,2020-11-03 23:11:00
Amador,0,0,0,79,79,2020-11-10 13:29:00
Butte,40,400,1640,0,2080,2020-11-09 16:49:00
Calaveras,59,23,32,375,489,2020-11-09 15:04:00
Colusa,0,197,46,9,252,2020-11-06 17:55:00
Contra Costa,5000,2500,2500,0,10000,2020-11-10 15:37:00
Del Norte,1,0,4,0,5,2020-11-10 16:16:00
El Dorado,100,165,1076,0,1341,2020-11-10 16:36:00
Fresno,750,340,4000,0,5090,2020-11-10 14:58:00
Glenn,14,0,179,321,514,2020-11-09 16:06:00
Humboldt,14127,910,1690,850,17577,2020-11-06 16:26:00
Imperial,4066,6701,0,0,10767,2020-11-10 17:38:00
Inyo,200,0,170,0,370,2020-11-06 13:18:00
Kern,97185,0,26377,0,123562,2020-11-10 14:02:00
Kings,0,338,1106,85,1529,2020-11-06 14:59:00
Lake,14583,2729,380,529,18221,2020-11-04 01:54:00
Lassen,0,38,164,41,243,2020-11-08 18:19:00
Los Angeles,69485,1550,65680,6000,142715,2020-11-10 16:02:00
Madera,54,35,1147,807,2043,2020-11-10 15:45:00
Marin,22820,560,600,200,24180,2020-11-06 16:50:00
Mariposa,5,0,0,61,66,2020-11-10 12:00:00
Mendocino,15501,1634,155,0,17290,2020-11-04 00:27:00
Merced,6471,0,1751,50,8272,2020-11-10 15:36:00
Modoc,411,44,55,14,524,2020-11-04 01:28:00
Mono,1,0,0,0,1,2020-11-10 14:55:00
Monterey,150,9066,621,473,10310,2020-11-09 17:42:00
Napa,2428,17,788,800,4033,2020-11-09 16:54:00
Nevada,5000,100,600,200,5900,2020-11-10 15:50:00
Orange,4731,0,21140,1826,27697,2020-11-09 17:30:00
Placer,11000,125,3400,4975,19500,2020-11-10 16:36:00
Plumas,102,0,59,3,164,2020-11-03 20:08:00
Riverside,215000,0,25000,0,240000,2020-11-09 17:44:00
Sacramento,158753,0,12300,0,171053,2020-11-10 15:18:00
San Benito,0,72,14,974,1060,2020-11-10 16:24:00
San Bernardino,156000,19000,0,1300,176300,2020-11-10 16:06:00
San Diego,12000,500,19250,250,32000,2020-11-10 17:32:00
San Francisco,1600,400,150,0,2150,2020-11-10 10:07:00
San Joaquin,59200,0,6300,3080,68580,2020-11-09 21:01:00
San Luis Obispo,2438,2362,0,127,4927,2020-11-09 17:49:00
San Mateo,65381,0,3756,3919,73056,2020-11-05 16:34:00
Santa Barbara,2200,2050,0,1850,6100,2020-11-09 03:56:00
Santa Clara,43000,500,10000,30000,83500,2020-11-09 17:11:00
Santa Cruz,300,149,1438,1459,3346,2020-11-09 15:39:00
Shasta,1382,2271,388,459,4500,2020-11-06 14:21:00
Sierra,0,0,0,0,0,2020-11-10 15:42:00
Siskiyou,0,0,424,146,570,2020-11-09 15:13:00
Solano,500,3000,500,500,4500,2020-11-10 17:24:00
Sonoma,40000,0,3500,400,43900,2020-11-04 00:00:00
Stanislaus,40000,150,1600,840,42590,2020-11-06 18:53:00
Sutter,5632,757,0,165,6554,2020-11-06 17:42:00
Tehama,2998,314,324,181,3817,2020-11-09 17:49:00
Trinity,27,0,48,3,78,2020-11-04 16:27:00
Tulare,200,812,861,3890,5763,2020-11-10 17:39:00
Tuolumne,400,0,365,0,765,2020-11-03 22:44:00
Ventura,300,350,1000,3773,5423,2020-11-10 16:09:00
Yolo,25852,222,1518,384,27976,2020-11-06 16:34:00
Yuba,9784,743,185,536,11248,2020-11-04 00:01:00
