,county,mail_returned,mail_rejected,rejected_pct,state
0,ADAMS,0.0,0.0,0.0,PA
1,ALLEGHENY,306254.0,1.0,0.000326526347410973,PA
2,ARMSTRONG,0.0,0.0,0.0,PA
3,BEAVER,26844.0,39.0,0.145283862315601,PA
4,BEDFORD,0.0,0.0,0.0,PA
5,BERKS,55839.0,142.0,0.254302548398073,PA
6,BLAIR,0.0,0.0,0.0,PA
7,BRADFORD,5380.0,3.0,0.055762081784386595,PA
8,BUCKS,0.0,0.0,0.0,PA
9,BUTLER,9807.0,4.0,0.0407871928214541,PA
10,CAMBRIA,0.0,0.0,0.0,PA
11,CAMERON,0.0,0.0,0.0,PA
12,CARBON,0.0,0.0,0.0,PA
13,CENTRE,0.0,0.0,0.0,PA
14,CHESTER,115079.0,64.0,0.055613969533972296,PA
15,CLARION,0.0,0.0,0.0,PA
16,CLEARFIELD,0.0,0.0,0.0,PA
17,CLINTON,0.0,0.0,0.0,PA
18,COLUMBIA,0.0,0.0,0.0,PA
19,CRAWFORD,0.0,0.0,0.0,PA
20,CUMBERLAND,0.0,0.0,0.0,PA
21,DAUPHIN,0.0,0.0,0.0,PA
22,DELAWARE,94501.0,71.0,0.0751314800901578,PA
23,ELK,3472.0,7.0,0.20161290322580602,PA
24,ERIE,0.0,0.0,0.0,PA
25,FAYETTE,0.0,0.0,0.0,PA
26,FOREST,0.0,0.0,0.0,PA
27,FRANKLIN,0.0,0.0,0.0,PA
28,FULTON,0.0,0.0,0.0,PA
29,GREENE,0.0,0.0,0.0,PA
30,HUNTINGDON,3728.0,1.0,0.0268240343347639,PA
31,INDIANA,0.0,0.0,0.0,PA
32,JEFFERSON,0.0,0.0,0.0,PA
33,JUNIATA,1987.0,1.0,0.050327126321087094,PA
34,LACKAWANNA,36321.0,46.0,0.126648495360811,PA
35,LANCASTER,75628.0,84.0,0.111069974083673,PA
36,LAWRENCE,0.0,0.0,0.0,PA
37,LEBANON,0.0,0.0,0.0,PA
38,LEHIGH,0.0,0.0,0.0,PA
39,LUZERNE,0.0,0.0,0.0,PA
40,LYCOMING,0.0,0.0,0.0,PA
41,McKEAN,3597.0,1.0,0.0278009452321379,PA
42,MERCER,13141.0,71.0,0.540293737158512,PA
43,MIFFLIN,4257.0,3.0,0.07047216349541931,PA
44,MONROE,24062.0,8.0,0.0332474441027346,PA
45,MONTGOMERY,0.0,0.0,0.0,PA
46,MONTOUR,0.0,0.0,0.0,PA
47,NORTHAMPTON,64850.0,7.0,0.010794140323824199,PA
48,NORTHUMBERLAND,0.0,0.0,0.0,PA
49,PERRY,0.0,0.0,0.0,PA
50,PHILADELPHIA,291354.0,2.0,0.000686450160286112,PA
51,PIKE,0.0,0.0,0.0,PA
52,POTTER,0.0,0.0,0.0,PA
53,SCHUYLKILL,0.0,0.0,0.0,PA
54,SNYDER,0.0,0.0,0.0,PA
55,SOMERSET,0.0,0.0,0.0,PA
56,SULLIVAN,0.0,0.0,0.0,PA
57,SUSQUEHANNA,0.0,0.0,0.0,PA
58,TIOGA,0.0,0.0,0.0,PA
59,UNION,0.0,0.0,0.0,PA
60,VENANGO,0.0,0.0,0.0,PA
61,WARREN,0.0,0.0,0.0,PA
62,WASHINGTON,32903.0,10.0,0.030392365437801997,PA
63,WAYNE,0.0,0.0,0.0,PA
64,WESTMORELAND,50147.0,1.0,0.0019941372365246198,PA
65,WYOMING,0.0,0.0,0.0,PA
66,YORK,0.0,0.0,0.0,PA
