county,mail_returned,mail_rejected,rejected_pct,state,fips,geoid,population,postal,state_ap
ROBESON,3294.0,151.0,4.58409228901032,North Carolina,37,37155,132092,NC,N.C.
GUILFORD,48496.0,1445.0,2.97962718574728,North Carolina,37,37081,485583,NC,N.C.
CUMBERLAND,22403.0,569.0,2.53983841449806,North Carolina,37,37051,324167,NC,N.C.
HUMBOLDT,1821.0,37.0,2.03,Nevada,32,32013,17941,NV,Nev.
CHURCHILL,3606.0,68.0,1.89,Nevada,32,32001,25515,NV,Nev.
PASQUOTANK,2339.0,42.0,1.79563916203506,North Carolina,37,37139,42443,NC,N.C.
BAKER,352.0,6.0,1.70454545454545,Georgia,13,13007,4004,GA,Ga.
GRUNDY,3047.0,48.0,1.57531998687233,Iowa,19,19075,12366,IA,Iowa
CLAY,396.0,6.0,1.51515151515152,Georgia,13,13061,3243,GA,Ga.
BRUNSWICK,17860.0,251.0,1.4053751399776,North Carolina,37,37019,113235,NC,N.C.
CLEVELAND,5396.0,75.0,1.38991845811712,North Carolina,37,37045,99430,NC,N.C.
CHARLTON,666.0,9.0,1.35135135135135,Georgia,13,13049,10802,GA,Ga.
HARDIN,4460.0,60.0,1.34529147982063,Iowa,19,19083,17696,IA,Iowa
WAPELLO,7684.0,98.0,1.27537740760021,Iowa,19,19179,35856,IA,Iowa
DURHAM,46026.0,578.0,1.25581193238604,North Carolina,37,37063,270938,NC,N.C.
HANCOCK,2614.0,30.0,1.14766641162969,Iowa,19,19081,11563,IA,Iowa
WASHOE,102473.0,1137.0,1.11,Nevada,32,32031,433045,NV,Nev.
CATAWBA,9680.0,106.0,1.09504132231405,North Carolina,37,37035,159731,NC,N.C.
RANDOLPH,7233.0,78.0,1.07839070924927,North Carolina,37,37151,143505,NC,N.C.
BUNCOMBE,34701.0,371.0,1.0691334543673099,North Carolina,37,37021,235069,NC,N.C.
TREUTLEN,564.0,6.0,1.0638297872340399,Georgia,13,13283,6679,GA,Ga.
SCOTLAND,1520.0,16.0,1.05263157894737,North Carolina,37,37165,37059,NC,N.C.
TALIAFERRO,289.0,3.0,1.03806228373702,Georgia,13,13265,1886,GA,Ga.
EUREKA,291.0,3.0,1.03,Nevada,32,32011,1638,NV,Nev.
RICHMOND,1764.0,18.0,1.02040816326531,North Carolina,37,37153,46893,NC,N.C.
DOUGLAS,16200.0,165.0,1.02,Nevada,32,32005,50015,NV,Nev.
VANCE,2388.0,24.0,1.00502512562814,North Carolina,37,37181,43297,NC,N.C.
HARNETT,8271.0,81.0,0.9793253536452671,North Carolina,37,37085,115536,NC,N.C.
FRANKLIN,4227.0,41.0,0.9699550508634971,North Carolina,37,37069,60792,NC,N.C.
WAYNE,6626.0,62.0,0.9357078176878961,North Carolina,37,37191,115330,NC,N.C.
PITT,10505.0,97.0,0.923369823893384,North Carolina,37,37147,162304,NC,N.C.
LYON,11481.0,106.0,0.92,Nevada,32,32019,56954,NV,Nev.
LEE,3930.0,36.0,0.9160305343511451,North Carolina,37,37105,60038,NC,N.C.
MUSCATINE,11026.0,101.0,0.916016687828768,Iowa,19,19139,43464,IA,Iowa
BUCHANAN,5139.0,47.0,0.914574820003892,Iowa,19,19019,21259,IA,Iowa
LYON,2883.0,26.0,0.901838362816511,Iowa,19,19119,11335,IA,Iowa
LEE,2337.0,21.0,0.8985879332477541,Georgia,13,13177,34148,GA,Ga.
WAKE,167938.0,1509.0,0.89854589193631,North Carolina,37,37183,927140,NC,N.C.
LENOIR,3012.0,27.0,0.8964143426294819,North Carolina,37,37107,57180,NC,N.C.
CALDWELL,4676.0,41.0,0.876817792985458,North Carolina,37,37027,81180,NC,N.C.
ALEXANDER,1731.0,15.0,0.8665511265164639,North Carolina,37,37003,37526,NC,N.C.
DAVIDSON,10993.0,92.0,0.8368962066769761,North Carolina,37,37057,161188,NC,N.C.
MARTIN,1115.0,9.0,0.807174887892377,North Carolina,37,37117,23823,NC,N.C.
JONES,5361.0,43.0,0.802089162469688,Iowa,19,19105,20458,IA,Iowa
PEACH,2369.0,18.0,0.7598142676234699,Georgia,13,13225,26953,GA,Ga.
DECATUR,2244.0,17.0,0.757575757575758,Georgia,13,13087,29705,GA,Ga.
NEW HANOVER,25571.0,190.0,0.7430292127801019,North Carolina,37,37129,199320,NC,N.C.
CARSON CITY,13278.0,98.0,0.74,Nevada,32,32510,55291,NV,Nev.
MONROE,1896.0,14.0,0.738396624472574,Iowa,19,19135,7665,IA,Iowa
STOREY,954.0,7.0,0.73,Nevada,32,32029,4550,NV,Nev.
JACKSON,2742.0,20.0,0.729394602479942,North Carolina,37,37099,38012,NC,N.C.
HALIFAX,1791.0,13.0,0.725851479620324,North Carolina,37,37083,55202,NC,N.C.
FORSYTH,40352.0,291.0,0.721153846153846,North Carolina,37,37067,353339,NC,N.C.
O'BRIEN,3233.0,23.0,0.711413547788432,Iowa,19,19141,13993,IA,Iowa
COLUMBUS,1893.0,13.0,0.686740623349181,North Carolina,37,37047,54899,NC,N.C.
CLARK,365058.0,2474.0,0.68,Nevada,32,32003,1976256,NV,Nev.
RUTHERFORD,4131.0,28.0,0.677801984991528,North Carolina,37,37161,63969,NC,N.C.
GRANVILLE,4133.0,28.0,0.67747398983789,North Carolina,37,37077,59205,NC,N.C.
UNION,18655.0,124.0,0.664701152506031,North Carolina,37,37179,207572,NC,N.C.
ADAIR,1851.0,12.0,0.648298217179903,Iowa,19,19001,7642,IA,Iowa
TELFAIR,948.0,6.0,0.632911392405063,Georgia,13,13271,13353,GA,Ga.
ELKO,5858.0,37.0,0.63,Nevada,32,32007,48694,NV,Nev.
GASTON,15454.0,95.0,0.6147275786204219,North Carolina,37,37071,210477,NC,N.C.
DARE,3613.0,22.0,0.608912261278716,North Carolina,37,37055,34007,NC,N.C.
BEAUFORT,2886.0,17.0,0.589050589050589,North Carolina,37,37013,46951,NC,N.C.
BENTON,5815.0,34.0,0.58469475494411,Iowa,19,19011,26968,IA,Iowa
CRAVEN,8752.0,51.0,0.5827239488117,North Carolina,37,37049,99813,NC,N.C.
BERTIE,699.0,4.0,0.572246065808298,North Carolina,37,37015,20019,NC,N.C.
PERSHING,870.0,5.0,0.57,Nevada,32,32027,6296,NV,Nev.
LOUISA,2397.0,13.0,0.542344597413433,Iowa,19,19115,11878,IA,Iowa
IOWA,4886.0,25.0,0.511665984445354,Iowa,19,19095,16162,IA,Iowa
LIBERTY,5279.0,27.0,0.511460503883311,Georgia,13,13179,60111,GA,Ga.
CALHOUN,2180.0,11.0,0.5045871559633031,Iowa,19,19025,10188,IA,Iowa
WASHINGTON,2383.0,12.0,0.503566932438103,Georgia,13,13303,20973,GA,Ga.
GREENE,2781.0,14.0,0.50341603739662,Georgia,13,13133,16528,GA,Ga.
NYE,11184.0,56.0,0.5,Nevada,32,32023,47120,NV,Nev.
MONTGOMERY,1018.0,5.0,0.49115913555992097,North Carolina,37,37123,27572,NC,N.C.
FRANKLIN,2252.0,11.0,0.48845470692717596,Iowa,19,19069,10500,IA,Iowa
STOKES,2467.0,12.0,0.486420753952169,North Carolina,37,37169,46807,NC,N.C.
HYDE,206.0,1.0,0.485436893203883,North Carolina,37,37095,5428,NC,N.C.
BURKE,4994.0,24.0,0.48057669203043707,North Carolina,37,37023,90059,NC,N.C.
YADKIN,2086.0,10.0,0.479386385426654,North Carolina,37,37197,38405,NC,N.C.
DAVIE,2976.0,14.0,0.47043010752688197,North Carolina,37,37059,42137,NC,N.C.
WHITE PINE,1711.0,8.0,0.47,Nevada,32,32033,9220,NV,Nev.
BOONE,8327.0,38.0,0.456346823585925,Iowa,19,19015,26890,IA,Iowa
BARTOW,9867.0,45.0,0.45606567345697796,Georgia,13,13015,99484,GA,Ga.
MECKLENBURG,128179.0,582.0,0.454052535906818,North Carolina,37,37119,937963,NC,N.C.
AVERY,884.0,4.0,0.45248868778280504,North Carolina,37,37011,18082,NC,N.C.
POCAHONTAS,1781.0,8.0,0.44918585064570504,Iowa,19,19151,7670,IA,Iowa
KEOKUK,2051.0,9.0,0.438810336421258,Iowa,19,19107,10907,IA,Iowa
CRISP,1612.0,7.0,0.43424317617866,Georgia,13,13081,22247,GA,Ga.
WEBSTER,8679.0,37.0,0.426316395898145,Iowa,19,19187,38870,IA,Iowa
STANLY,3392.0,14.0,0.41273584905660404,North Carolina,37,37167,60892,NC,N.C.
MORGAN,1963.0,8.0,0.40753948038716303,Georgia,13,13211,19135,GA,Ga.
JEFFERSON,5428.0,22.0,0.40530582166543805,Iowa,19,19101,15749,IA,Iowa
TURNER,501.0,2.0,0.399201596806387,Georgia,13,13287,9161,GA,Ga.
TOOMBS,2255.0,9.0,0.39911308203991097,Georgia,13,13279,28050,GA,Ga.
YANCEY,1506.0,6.0,0.398406374501992,North Carolina,37,37199,18941,NC,N.C.
LINCOLN,6028.0,24.0,0.39814200398141997,North Carolina,37,37109,78115,NC,N.C.
WOODBURY,23743.0,94.0,0.39590616181611404,Iowa,19,19193,102667,IA,Iowa
ALAMANCE,14261.0,54.0,0.378655073276769,North Carolina,37,37001,150355,NC,N.C.
SPALDING,7362.0,26.0,0.353164900842162,Georgia,13,13255,64848,GA,Ga.
WARE,2865.0,10.0,0.34904013961605596,Georgia,13,13299,35985,GA,Ga.
SIOUX,7224.0,25.0,0.346068660022148,Iowa,19,19167,32785,IA,Iowa
GREENE,870.0,3.0,0.34482758620689696,North Carolina,37,37079,21331,NC,N.C.
DECATUR,1456.0,5.0,0.343406593406593,Iowa,19,19053,8426,IA,Iowa
CRAWFORD,3510.0,12.0,0.341880341880342,Iowa,19,19047,16706,IA,Iowa
SCHLEY,300.0,1.0,0.333333333333333,Georgia,13,13249,4369,GA,Ga.
MOORE,10831.0,36.0,0.33237928169144104,North Carolina,37,37125,88177,NC,N.C.
CLARKE,2129.0,7.0,0.328792860497886,Iowa,19,19039,9151,IA,Iowa
MARION,9174.0,30.0,0.327011118378025,Iowa,19,19125,33494,IA,Iowa
NORTHAMPTON,923.0,3.0,0.325027085590466,North Carolina,37,37131,21041,NC,N.C.
LOWNDES,8839.0,28.0,0.31677791605385197,Georgia,13,13185,106350,GA,Ga.
CASWELL,1269.0,4.0,0.315208825847124,North Carolina,37,37033,23493,NC,N.C.
DUPLIN,1622.0,5.0,0.30826140567201,North Carolina,37,37061,54388,NC,N.C.
LUCE,974.0,3.0,0.308008213552361,Michigan,26,26095,6602,MI,Mich.
MITCHELL,989.0,3.0,0.303336703741153,North Carolina,37,37121,16015,NC,N.C.
LANDER,676.0,2.0,0.3,Nevada,32,32015,5303,NV,Nev.
NEWTON,14679.0,44.0,0.299747939232918,Georgia,13,13217,104828,GA,Ga.
WAYNE,1355.0,4.0,0.29520295202951996,Iowa,19,19185,6273,IA,Iowa
MARSHALL,10034.0,29.0,0.289017341040462,Iowa,19,19127,39901,IA,Iowa
HARRISON,3466.0,10.0,0.288517022504328,Iowa,19,19085,15321,IA,Iowa
COLQUITT,2442.0,7.0,0.28665028665028697,Georgia,13,13071,45526,GA,Ga.
LUMPKIN,3176.0,9.0,0.283375314861461,Georgia,13,13187,29020,GA,Ga.
LUCAS,2145.0,6.0,0.27972027972027996,Iowa,19,19117,9187,IA,Iowa
SWAIN,718.0,2.0,0.27855153203342603,North Carolina,37,37173,13902,NC,N.C.
WHEELER,359.0,1.0,0.27855153203342603,Georgia,13,13309,6953,GA,Ga.
MERCER,14078.0,39.0,0.277027986929962,Pennsylvania,42,42085,117398,PA,Pa.
BERKS,59719.0,165.0,0.27629397679130596,Pennsylvania,42,42011,410288,PA,Pa.
CASS,3659.0,10.0,0.273298715496037,Iowa,19,19029,14099,IA,Iowa
CLAY,733.0,2.0,0.272851296043656,North Carolina,37,37043,10853,NC,N.C.
FULTON,131192.0,352.0,0.268309043234344,Georgia,13,13121,1047825,GA,Ga.
CARTERET,4880.0,13.0,0.266393442622951,North Carolina,37,37031,64494,NC,N.C.
POLK,2665.0,7.0,0.262664165103189,Georgia,13,13233,42988,GA,Ga.
LINCOLN,784.0,2.0,0.26,Nevada,32,32017,4829,NV,Nev.
CLARKE,17374.0,45.0,0.259007712674111,Georgia,13,13059,117938,GA,Ga.
HENRY,27869.0,70.0,0.25117514083749,Georgia,13,13151,206271,GA,Ga.
MACON,809.0,2.0,0.247218788627936,Georgia,13,13193,13441,GA,Ga.
MCINTOSH,1626.0,4.0,0.2460024600246,Georgia,13,13191,11990,GA,Ga.
LEE,8843.0,21.0,0.237475969693543,Iowa,19,19111,35702,IA,Iowa
HAYWOOD,5975.0,14.0,0.234309623430962,North Carolina,37,37087,57922,NC,N.C.
CLAYTON,4282.0,10.0,0.233535730966838,Iowa,19,19043,18152,IA,Iowa
