county,mail_returned,mail_rejected,rejected_pct,state,fips
CHARLTON,650.0,9.0,1.38461538461538,Georgia,13
CLAY,379.0,4.0,1.05540897097625,Georgia,13
TREUTLEN,549.0,5.0,0.9107468123861571,Georgia,13
DECATUR,2148.0,18.0,0.8379888268156419,Georgia,13
PEACH,2230.0,18.0,0.807174887892377,Georgia,13
TALIAFERRO,277.0,2.0,0.72202166064982,Georgia,13
TELFAIR,928.0,6.0,0.646551724137931,Georgia,13
CRISP,1569.0,9.0,0.573613766730402,Georgia,13
GREENE,2729.0,13.0,0.47636496885305996,Georgia,13
TOOMBS,2126.0,10.0,0.470366886171214,Georgia,13
LOWNDES,8165.0,37.0,0.453153704837722,Georgia,13
BARTOW,9660.0,43.0,0.44513457556935804,Georgia,13
WASHINGTON,2337.0,10.0,0.427899015832264,Georgia,13
TURNER,490.0,2.0,0.40816326530612196,Georgia,13
NEWTON,13885.0,53.0,0.381706877925819,Georgia,13
MORGAN,1891.0,7.0,0.370174510840825,Georgia,13
SCHLEY,291.0,1.0,0.343642611683849,Georgia,13
SPALDING,7027.0,24.0,0.341539775152981,Georgia,13
WARE,2793.0,9.0,0.322234156820623,Georgia,13
MCINTOSH,1569.0,5.0,0.318674314850223,Georgia,13
COLQUITT,2334.0,7.0,0.299914310197087,Georgia,13
TIFT,2405.0,7.0,0.29106029106029097,Georgia,13
LIBERTY,5102.0,14.0,0.27440219521756204,Georgia,13
FULTON,125075.0,338.0,0.270237857285629,Georgia,13
POLK,2635.0,7.0,0.265654648956357,Georgia,13
FORSYTH,23322.0,59.0,0.252980018866306,Georgia,13
BRYAN,3347.0,8.0,0.239020017926501,Georgia,13
STEWART,423.0,1.0,0.236406619385343,Georgia,13
DEKALB,111212.0,255.0,0.229291803042837,Georgia,13
GILMER,3276.0,7.0,0.213675213675214,Georgia,13
SEMINOLE,482.0,1.0,0.20746887966805,Georgia,13
LANIER,488.0,1.0,0.204918032786885,Georgia,13
BUTTS,2019.0,4.0,0.19811788013868298,Georgia,13
LUMPKIN,3040.0,6.0,0.19736842105263203,Georgia,13
HALL,19573.0,38.0,0.19414499565728302,Georgia,13
IRWIN,590.0,1.0,0.169491525423729,Georgia,13
TAYLOR,610.0,1.0,0.163934426229508,Georgia,13
HOUSTON,17867.0,29.0,0.16231040465663002,Georgia,13
COBB,132410.0,207.0,0.156332603277698,Georgia,13
JENKINS,710.0,1.0,0.140845070422535,Georgia,13
WORTH,1443.0,2.0,0.13860013860013898,Georgia,13
MACON,730.0,1.0,0.136986301369863,Georgia,13
COLUMBIA,15048.0,20.0,0.13290802764487,Georgia,13
HENRY,25917.0,34.0,0.13118802330516602,Georgia,13
CATOOSA,4846.0,5.0,0.10317787866281498,Georgia,13
MERIWETHER,2321.0,2.0,0.0861697544161999,Georgia,13
PIERCE,1195.0,1.0,0.0836820083682008,Georgia,13
PIKE,1314.0,1.0,0.076103500761035,Georgia,13
HANCOCK,1378.0,1.0,0.07256894049346879,Georgia,13
LAMAR,1574.0,1.0,0.0635324015247776,Georgia,13
EMANUEL,1602.0,1.0,0.0624219725343321,Georgia,13
TROUP,5702.0,3.0,0.0526131182041389,Georgia,13
BIBB,18061.0,9.0,0.049831127844526896,Georgia,13
CAMDEN,4624.0,2.0,0.0432525951557093,Georgia,13
SUMTER,2579.0,1.0,0.0387747188832881,Georgia,13
OCONEE,5355.0,1.0,0.0186741363211951,Georgia,13
BULLOCH,5662.0,1.0,0.0176616036736136,Georgia,13
COWETA,16639.0,2.0,0.0120199531221828,Georgia,13
CLAYTON,26181.0,1.0,0.0038195638058133798,Georgia,13
CHEROKEE,33417.0,1.0,0.00299248885297902,Georgia,13
CHATHAM,33916.0,1.0,0.00294846090340842,Georgia,13
WHITFIELD,5986.0,0.0,0.0,Georgia,13
MONTGOMERY,592.0,0.0,0.0,Georgia,13
PAULDING,18036.0,0.0,0.0,Georgia,13
MILLER,461.0,0.0,0.0,Georgia,13
MITCHELL,1905.0,0.0,0.0,Georgia,13
MONROE,2230.0,0.0,0.0,Georgia,13
WILKES,1158.0,0.0,0.0,Georgia,13
OGLETHORPE,1741.0,0.0,0.0,Georgia,13
WEBSTER,317.0,0.0,0.0,Georgia,13
MURRAY,1929.0,0.0,0.0,Georgia,13
WHEELER,347.0,0.0,0.0,Georgia,13
WILKINSON,791.0,0.0,0.0,Georgia,13
PICKENS,2087.0,0.0,0.0,Georgia,13
WHITE,2834.0,0.0,0.0,Georgia,13
MUSCOGEE,22005.0,0.0,0.0,Georgia,13
WILCOX,522.0,0.0,0.0,Georgia,13
THOMAS,3679.0,0.0,0.0,Georgia,13
WAYNE,1977.0,0.0,0.0,Georgia,13
WARREN,697.0,0.0,0.0,Georgia,13
TOWNS,1865.0,0.0,0.0,Georgia,13
TERRELL,1016.0,0.0,0.0,Georgia,13
TATTNALL,1258.0,0.0,0.0,Georgia,13
STEPHENS,1971.0,0.0,0.0,Georgia,13
TWIGGS,980.0,0.0,0.0,Georgia,13
UNION,3417.0,0.0,0.0,Georgia,13
SCREVEN,1215.0,0.0,0.0,Georgia,13
UPSON,2571.0,0.0,0.0,Georgia,13
WALKER,5496.0,0.0,0.0,Georgia,13
ROCKDALE,11431.0,0.0,0.0,Georgia,13
RICHMOND,24468.0,0.0,0.0,Georgia,13
RANDOLPH,635.0,0.0,0.0,Georgia,13
RABUN,2466.0,0.0,0.0,Georgia,13
QUITMAN,216.0,0.0,0.0,Georgia,13
PUTNAM,3084.0,0.0,0.0,Georgia,13
WALTON,9507.0,0.0,0.0,Georgia,13
PULASKI,621.0,0.0,0.0,Georgia,13
TALBOT,1096.0,0.0,0.0,Georgia,13
APPLING,1398.0,0.0,0.0,Georgia,13
MCDUFFIE,2301.0,0.0,0.0,Georgia,13
MARION,715.0,0.0,0.0,Georgia,13
DOUGLAS,16542.0,0.0,0.0,Georgia,13
DOUGHERTY,8770.0,0.0,0.0,Georgia,13
DOOLY,684.0,0.0,0.0,Georgia,13
DODGE,1200.0,0.0,0.0,Georgia,13
DAWSON,2729.0,0.0,0.0,Georgia,13
DADE,947.0,0.0,0.0,Georgia,13
CRAWFORD,1002.0,0.0,0.0,Georgia,13
COOK,942.0,0.0,0.0,Georgia,13
COFFEE,1681.0,0.0,0.0,Georgia,13
CLINCH,328.0,0.0,0.0,Georgia,13
