state,active_voters,mail_ballots_sent,mail_ballots_returned,mail_ballots_counted,mail_ballots_rejected,total_votes_cast,mail_rejected_rate,mail_pct_all_votes
AK,571851.0,29257.0,24425.0,23667.0,758.0,285009.0,3.103377686796315,8.303948296369589
AL,3164301.0,63291.0,57832.0,54833.0,1368.0,1726638.0,2.3654724028219674,3.1757090947841995
AR,1456887.0,17120.0,15208.0,11611.0,1150.0,814887.0,7.561809573908469,1.4248601339817668
AS,8462.0,51.0,36.0,0.0,0.0,8462.0,0.0,0.0
AZ,3715624.0,2672384.0,1899240.0,1874489.0,8567.0,2409906.0,0.45107516690886884,77.78266040252191
CA,19724297.0,13687191.0,8286228.0,8289322.0,161660.0,12605048.0,1.9509480067408234,65.7619233183404
CO,3426499.0,3467664.0,2449409.0,2430239.0,19170.0,2586429.0,0.7826377709888385,93.96117194788644
CT,2193586.0,96559.0,91602.0,89877.0,1725.0,1421650.0,1.8831466561865462,6.3220201878099385
DC,511633.0,12400.0,9351.0,9019.0,332.0,231700.0,3.5504224147150034,3.892533448424687
DE,672632.0,17392.0,14142.0,13436.0,706.0,366550.0,4.99222175081318,3.6655299413449733
FL,13278070.0,3499503.0,2604544.0,2585374.0,30540.0,8316428.0,1.1725660998623944,31.087553454439814
GA,6437524.0,281490.0,242661.0,218858.0,7512.0,3939500.0,3.0956766847577484,5.555476583322757
GU,55941.0,624.0,367.0,298.0,69.0,37386.0,18.80108991825613,0.7970898197186111
HI,712765.0,286229.0,224404.0,195149.0,1638.0,398569.0,0.7299335127716083,48.96241303262421
IA,2037516.0,358659.0,325098.0,310563.0,5098.0,1334279.0,1.5681425293296174,23.27571669793199
ID,917609.0,81172.0,76197.0,72872.0,1188.0,612536.0,1.5591165006496317,11.896770149019813
IL,8091045.0,523372.0,441545.0,429874.0,9056.0,4764470.0,2.050980081305416,9.022493582706996
IN,4168374.0,766722.0,762511.0,750339.0,3419.0,2305161.0,0.4483869740895541,32.5503945277575
KS,1670217.0,191602.0,172743.0,170641.0,1879.0,1072531.0,1.087743063394754,15.910122877567176
KY,3402905.0,29244.0,25837.0,23971.0,1756.0,1617840.0,6.796454696752718,1.4816669139099046
LA,2856722.0,65442.0,43959.0,41363.0,2596.0,1519552.0,5.9055028549330055,2.7220522890957337
MA,3947897.0,105454.0,89437.0,84280.0,5157.0,2752665.0,5.766069971041068,3.0617601488012527
