,city,waitTime,centers_count,time
0,Acton,7.2,5,2020-11-03 13:25:49.325431
1,Agoura Hills,7.0,4,2020-11-03 13:25:49.325431
2,Alhambra,6.0,2,2020-11-03 13:25:49.325431
3,Altadena,6.0,2,2020-11-03 13:25:49.325431
4,Arcadia,4.8,5,2020-11-03 13:25:49.325431
5,Arleta,8.0,1,2020-11-03 13:25:49.325431
6,Artesia,6.0,2,2020-11-03 13:25:49.325431
7,Avalon,8.0,1,2020-11-03 13:25:49.325431
8,Azusa,6.666666666666667,3,2020-11-03 13:25:49.325431
9,Baldwin Park,7.333333333333333,3,2020-11-03 13:25:49.325431
10,Bell,8.333333333333334,3,2020-11-03 13:25:49.325431
11,Bell Gardens,8.0,3,2020-11-03 13:25:49.325431
12,Bellflower,5.333333333333333,3,2020-11-03 13:25:49.325431
13,Beverly Hills,5.0,9,2020-11-03 13:25:49.325431
14,Burbank,7.5,8,2020-11-03 13:25:49.325431
15,Calabasas,7.0,3,2020-11-03 13:25:49.325431
16,Canoga Park,5.0,4,2020-11-03 13:25:49.325431
17,Canyon Country,23.0,1,2020-11-03 13:25:49.325431
18,Carson,7.2,10,2020-11-03 13:25:49.325431
19,Castaic,6.5,2,2020-11-03 13:25:49.325431
20,Cerritos,6.625,8,2020-11-03 13:25:49.325431
21,Chatsworth,8.0,2,2020-11-03 13:25:49.325431
22,City of Industry,5.0,2,2020-11-03 13:25:49.325431
23,Claremont,7.25,4,2020-11-03 13:25:49.325431
24,Commerce,0.0,1,2020-11-03 13:25:49.325431
25,Compton,6.2727272727272725,11,2020-11-03 13:25:49.325431
26,Covina,5.75,4,2020-11-03 13:25:49.325431
27,Cudahy,8.0,1,2020-11-03 13:25:49.325431
28,Culver City,7.2,5,2020-11-03 13:25:49.325431
29,Diamond Bar,7.428571428571429,7,2020-11-03 13:25:49.325431
30,Downey,12.0,4,2020-11-03 13:25:49.325431
31,Duarte,8.0,2,2020-11-03 13:25:49.325431
32,El Monte,5.230769230769231,13,2020-11-03 13:25:49.325431
33,El Segundo,8.0,4,2020-11-03 13:25:49.325431
34,Gardena,8.0,6,2020-11-03 13:25:49.325431
35,Glendale,6.428571428571429,14,2020-11-03 13:25:49.325431
36,Glendora,5.5,4,2020-11-03 13:25:49.325431
37,Granada Hills,8.0,6,2020-11-03 13:25:49.325431
38,Hacienda Heights,8.0,6,2020-11-03 13:25:49.325431
39,Hawaiian Gardens,8.0,1,2020-11-03 13:25:49.325431
40,Hawthorne,7.625,8,2020-11-03 13:25:49.325431
41,Hermosa Beach,8.0,4,2020-11-03 13:25:49.325431
42,Hollywood,8.0,1,2020-11-03 13:25:49.325431
43,Huntington Park,1.5,4,2020-11-03 13:25:49.325431
44,Inglewood,5.846153846153846,13,2020-11-03 13:25:49.325431
45,Irwindale,6.0,1,2020-11-03 13:25:49.325431
46,La Canada Flintridge,0.0,1,2020-11-03 13:25:49.325431
47,La Crescenta,6.0,1,2020-11-03 13:25:49.325431
48,La Habra Heights,8.0,1,2020-11-03 13:25:49.325431
49,La Mirada,6.8,5,2020-11-03 13:25:49.325431
50,La Puente,7.7272727272727275,11,2020-11-03 13:25:49.325431
51,La Verne,5.0,1,2020-11-03 13:25:49.325431
52,Lake Los Angeles,8.0,1,2020-11-03 13:25:49.325431
53,Lakeview Terrace,8.0,1,2020-11-03 13:25:49.325431
54,Lakewood,7.4,5,2020-11-03 13:25:49.325431
55,Lancaster,6.285714285714286,14,2020-11-03 13:25:49.325431
56,Lawndale,4.0,1,2020-11-03 13:25:49.325431
57,Lennox,8.0,3,2020-11-03 13:25:49.325431
58,Littlerock,8.0,3,2020-11-03 13:25:49.325431
59,Lomita,4.0,2,2020-11-03 13:25:49.325431
60,Long Beach,6.764705882352941,34,2020-11-03 13:25:49.325431
61,Los Angeles,7.1923076923076925,182,2020-11-03 13:25:49.325431
62,Los Angleles,8.0,1,2020-11-03 13:25:49.325431
63,Los Nietos,8.0,1,2020-11-03 13:25:49.325431
64,Lynwood,6.25,4,2020-11-03 13:25:49.325431
65,Malibu,5.333333333333333,3,2020-11-03 13:25:49.325431
66,Manhattan Beach,8.0,2,2020-11-03 13:25:49.325431
67,Marina Del Rey,6.0,1,2020-11-03 13:25:49.325431
68,Maywood,4.0,2,2020-11-03 13:25:49.325431
69,Mission Hills,6.0,2,2020-11-03 13:25:49.325431
70,Monrovia,6.0,3,2020-11-03 13:25:49.325431
71,Montebello,8.0,6,2020-11-03 13:25:49.325431
72,Monterey Park,8.0,5,2020-11-03 13:25:49.325431
73,Newhall,8.0,2,2020-11-03 13:25:49.325431
74,North Hills,6.0,3,2020-11-03 13:25:49.325431
75,North Hollywood,5.0,8,2020-11-03 13:25:49.325431
76,Northridge,7.2,5,2020-11-03 13:25:49.325431
77,Norwalk,7.909090909090909,11,2020-11-03 13:25:49.325431
78,Pacific Palisades,8.0,1,2020-11-03 13:25:49.325431
79,Pacoima,8.0,2,2020-11-03 13:25:49.325431
80,Palmdale,7.555555555555555,9,2020-11-03 13:25:49.325431
81,Palos Verdes Estates,8.0,2,2020-11-03 13:25:49.325431
82,Panorama City,7.0,2,2020-11-03 13:25:49.325431
83,Paramount,7.0,3,2020-11-03 13:25:49.325431
84,Pasadena,5.923076923076923,13,2020-11-03 13:25:49.325431
85,Pico Rivera,9.8,5,2020-11-03 13:25:49.325431
86,Playa Del Rey,8.0,1,2020-11-03 13:25:49.325431
87,Pomona,7.142857142857143,14,2020-11-03 13:25:49.325431
88,Porter Ranch,4.0,1,2020-11-03 13:25:49.325431
89,Quartz Hill,0.0,1,2020-11-03 13:25:49.325431
90,Rancho Palos Verdes,5.333333333333333,3,2020-11-03 13:25:49.325431
91,Redondo Beach,7.0,7,2020-11-03 13:25:49.325431
92,Reseda,12.0,1,2020-11-03 13:25:49.325431
93,Rolling Hills Estates,8.0,3,2020-11-03 13:25:49.325431
94,Rosemead,7.2,5,2020-11-03 13:25:49.325431
95,Rowland Heights,8.0,7,2020-11-03 13:25:49.325431
96,San Dimas,8.0,1,2020-11-03 13:25:49.325431
97,San Fernando,6.8,5,2020-11-03 13:25:49.325431
98,San Gabriel,7.0,4,2020-11-03 13:25:49.325431
99,San Marino,8.0,1,2020-11-03 13:25:49.325431
100,San Pedro,5.7272727272727275,11,2020-11-03 13:25:49.325431
101,Santa Clarita,5.9,10,2020-11-03 13:25:49.325431
102,Santa Fe Springs,5.0,2,2020-11-03 13:25:49.325431
103,Santa Monica,5.2,10,2020-11-03 13:25:49.325431
104,Saugus,6.0,1,2020-11-03 13:25:49.325431
105,Sherman Oaks,4.333333333333333,3,2020-11-03 13:25:49.325431
106,Sierra Madre,4.0,1,2020-11-03 13:25:49.325431
107,Signal Hill,0.0,1,2020-11-03 13:25:49.325431
108,South El Monte,8.0,1,2020-11-03 13:25:49.325431
109,South Gate,4.4,5,2020-11-03 13:25:49.325431
110,South Pasadena,8.0,2,2020-11-03 13:25:49.325431
111,Stevenson Ranch,8.0,1,2020-11-03 13:25:49.325431
112,Studio City,0.0,1,2020-11-03 13:25:49.325431
113,Sun Valley,2.6666666666666665,3,2020-11-03 13:25:49.325431
114,Sun Village,8.0,1,2020-11-03 13:25:49.325431
115,Sunland,8.0,1,2020-11-03 13:25:49.325431
116,Sunland-Tujunga,8.0,1,2020-11-03 13:25:49.325431
117,Sylmar,6.666666666666667,3,2020-11-03 13:25:49.325431
118,Tarzana,9.0,3,2020-11-03 13:25:49.325431
119,Temple City,6.0,2,2020-11-03 13:25:49.325431
120,Topanga,5.333333333333333,3,2020-11-03 13:25:49.325431
121,Torrance,7.090909090909091,11,2020-11-03 13:25:49.325431
122,Tujunga,8.0,1,2020-11-03 13:25:49.325431
123,Universal City,8.0,1,2020-11-03 13:25:49.325431
124,Valencia,8.0,3,2020-11-03 13:25:49.325431
125,Valley Glen,8.0,1,2020-11-03 13:25:49.325431
126,Valley Village,8.0,2,2020-11-03 13:25:49.325431
127,Van Nuys,7.75,8,2020-11-03 13:25:49.325431
128,Venice,4.0,4,2020-11-03 13:25:49.325431
129,Vernon,8.0,1,2020-11-03 13:25:49.325431
130,Walnut,8.0,4,2020-11-03 13:25:49.325431
131,Walnut Park,11.0,1,2020-11-03 13:25:49.325431
132,West Covina,6.75,8,2020-11-03 13:25:49.325431
133,West Hollywood,5.333333333333333,3,2020-11-03 13:25:49.325431
134,West Los Angeles,8.0,1,2020-11-03 13:25:49.325431
135,Westlake Village,8.0,1,2020-11-03 13:25:49.325431
136,Whittier,5.833333333333333,12,2020-11-03 13:25:49.325431
137,Wilmington,6.166666666666667,6,2020-11-03 13:25:49.325431
138,Winnetka,5.0,2,2020-11-03 13:25:49.325431
139,Woodland Hills,7.428571428571429,7,2020-11-03 13:25:49.325431
