,city,avg_wait_minutes,centers_count,time
0,Acton,6.4,5,2020-11-03 14:06:47.377412
1,Agoura Hills,6.5,4,2020-11-03 14:06:47.377412
2,Alhambra,6.5,2,2020-11-03 14:06:47.377412
3,Altadena,6.0,2,2020-11-03 14:06:47.377412
4,Arcadia,6.6,5,2020-11-03 14:06:47.377412
5,Arleta,8.0,1,2020-11-03 14:06:47.377412
6,Artesia,6.5,2,2020-11-03 14:06:47.377412
7,Avalon,8.0,1,2020-11-03 14:06:47.377412
8,Azusa,7.0,3,2020-11-03 14:06:47.377412
9,Baldwin Park,7.333333333333333,3,2020-11-03 14:06:47.377412
10,Bell,8.0,3,2020-11-03 14:06:47.377412
11,Bell Gardens,8.0,3,2020-11-03 14:06:47.377412
12,Bellflower,6.666666666666667,3,2020-11-03 14:06:47.377412
13,Beverly Hills,6.222222222222222,9,2020-11-03 14:06:47.377412
14,Burbank,7.25,8,2020-11-03 14:06:47.377412
15,Calabasas,8.0,3,2020-11-03 14:06:47.377412
16,Canoga Park,3.0,4,2020-11-03 14:06:47.377412
17,Canyon Country,8.0,1,2020-11-03 14:06:47.377412
18,Carson,7.2,10,2020-11-03 14:06:47.377412
19,Castaic,8.0,2,2020-11-03 14:06:47.377412
20,Cerritos,7.0,8,2020-11-03 14:06:47.377412
21,Chatsworth,8.0,2,2020-11-03 14:06:47.377412
22,City of Industry,2.0,2,2020-11-03 14:06:47.377412
23,Claremont,8.0,4,2020-11-03 14:06:47.377412
24,Commerce,8.0,1,2020-11-03 14:06:47.377412
25,Compton,5.545454545454546,11,2020-11-03 14:06:47.377412
26,Covina,7.25,4,2020-11-03 14:06:47.377412
27,Cudahy,23.0,1,2020-11-03 14:06:47.377412
28,Culver City,8.4,5,2020-11-03 14:06:47.377412
29,Diamond Bar,7.428571428571429,7,2020-11-03 14:06:47.377412
30,Downey,12.25,4,2020-11-03 14:06:47.377412
31,Duarte,8.0,2,2020-11-03 14:06:47.377412
32,El Monte,5.769230769230769,13,2020-11-03 14:06:47.377412
33,El Segundo,7.0,4,2020-11-03 14:06:47.377412
34,Gardena,8.0,6,2020-11-03 14:06:47.377412
35,Glendale,6.928571428571429,14,2020-11-03 14:06:47.377412
36,Glendora,5.75,4,2020-11-03 14:06:47.377412
37,Granada Hills,6.666666666666667,6,2020-11-03 14:06:47.377412
38,Hacienda Heights,6.666666666666667,6,2020-11-03 14:06:47.377412
39,Hawaiian Gardens,0.0,1,2020-11-03 14:06:47.377412
40,Hawthorne,5.75,8,2020-11-03 14:06:47.377412
41,Hermosa Beach,6.0,4,2020-11-03 14:06:47.377412
42,Hollywood,8.0,1,2020-11-03 14:06:47.377412
43,Huntington Park,3.5,4,2020-11-03 14:06:47.377412
44,Inglewood,4.923076923076923,13,2020-11-03 14:06:47.377412
45,Irwindale,8.0,1,2020-11-03 14:06:47.377412
46,La Canada Flintridge,8.0,1,2020-11-03 14:06:47.377412
47,La Crescenta,9.0,1,2020-11-03 14:06:47.377412
48,La Habra Heights,8.0,1,2020-11-03 14:06:47.377412
49,La Mirada,7.6,5,2020-11-03 14:06:47.377412
50,La Puente,6.545454545454546,11,2020-11-03 14:06:47.377412
51,La Verne,2.0,1,2020-11-03 14:06:47.377412
52,Lake Los Angeles,8.0,1,2020-11-03 14:06:47.377412
53,Lakeview Terrace,8.0,1,2020-11-03 14:06:47.377412
54,Lakewood,7.8,5,2020-11-03 14:06:47.377412
55,Lancaster,6.571428571428571,14,2020-11-03 14:06:47.377412
56,Lawndale,8.0,1,2020-11-03 14:06:47.377412
57,Lennox,8.0,3,2020-11-03 14:06:47.377412
