stat,value,team_name,team_id
Assists,3.0,USA,43921
Receptions in behind,52.0,USA,43921
Receptions under pressure,711.0,USA,43921
Linebreaks attempted midfield line,342.0,USA,43921
Attempt at goal blocked,8.0,USA,43921
Final third entries reception inside right channel,24.0,USA,43921
Crosses completed,10.0,USA,43921
Attempt at goal inside the penalty area on target,10.0,USA,43921
Goal kicks,21.0,USA,43921
Completed ball progressions,85.0,USA,43921
Distributions under pressure,1142.0,USA,43921
Final third entries reception left channel,50.0,USA,43921
Linebreaks completed all lines,16.0,USA,43921
Passes,2033.0,USA,43921
Take ons completed,7.0,USA,43921
Received offers to receive,948.0,USA,43921
Distance high speed sprinting,12377.0,USA,43921
Direct free kicks,42.0,USA,43921
Linebreaks attempted completed,493.0,USA,43921
Goalkeeper defensive actions outside penalty area,0.0,USA,43921
Crosses,96.0,USA,43921
Linebreaks completed attacking and midfield line,105.0,USA,43921
Linebreaks attempted all lines,36.0,USA,43921
Offers to receive in between,1196.0,USA,43921
Total distance,488086.0,USA,43921
Free kicks,46.0,USA,43921
Fouls against,45.0,USA,43921
Throw ins,81.0,USA,43921
Offers to receive in behind,590.0,USA,43921
Receptions between midfield and defensive line,427.0,USA,43921
Headed attempt at goal,10.0,USA,43921
Linebreaks attempted attacking and midfield line,105.0,USA,43921
Goals outside the penalty area,0.0,USA,43921
Clean sheets,2.0,USA,43921
Goals,3.0,USA,43921
Own goals,0.0,USA,43921
Distributions completed under pressure,797.0,USA,43921
Attempt at goal on target,15.0,USA,43921
Final third entries reception central channel,16.0,USA,43921
Attempt at goal from free kicks,1.0,USA,43921
Receptions under no pressure,1450.0,USA,43921
Linebreaks attempted attacking line completed,200.0,USA,43921
Penalties,0.0,USA,43921
Linebreaks completed midfield and defensive line,28.0,USA,43921
Yellow cards,5.0,USA,43921
Penalties scored,0.0,USA,43921
Final third entries reception right channel,51.0,USA,43921
Linebreaks attempted defensive line completed,53.0,USA,43921
Distance high speed running,73684.0,USA,43921
Receptions under indirect pressure,615.0,USA,43921
Substitutions out,19.0,USA,43921
Receptions under direct pressure,96.0,USA,43921
Substitutions in,19.0,USA,43921
Linebreaks attempted midfield and defensive line,50.0,USA,43921
Attempt at goal inside the penalty area,29.0,USA,43921
Forced turnovers,293.0,USA,43921
Goals from direct free kicks,0.0,USA,43921
Indirect free kicks,4.0,USA,43921
Attempted ball progressions,108.0,USA,43921
Offers to receive in front,995.0,USA,43921
Linebreaks attempted midfield line completed,240.0,USA,43921
Attempt at goal,46.0,USA,43921
Distance jogging,207719.0,USA,43921
Time played,382.0,USA,43921
Passes completed,1777.0,USA,43921
Distance walking,161995.0,USA,43921
Offers to receive total,2781.0,USA,43921
Linebreaks attempted defensive line,93.0,USA,43921
Linebreaks attempted attacking line,279.0,USA,43921
Linebreaks attempted,714.0,USA,43921
Goals conceded,4.0,USA,43921
Red cards,0.0,USA,43921
Completed switches of play,20.0,USA,43921
Offsides,5.0,USA,43921
Corners,22.0,USA,43921
Attempt at goal against,32.0,USA,43921
Offers to receive inside,1293.0,USA,43921
Attempt at goal outside the penalty area on target,5.0,USA,43921
Attempted switches of play,24.0,USA,43921
Distance low speed sprinting,32275.0,USA,43921
Goals conceded from attempt at goal against,0.0,USA,43921
Goalkeeper defensive actions inside penalty area,73.0,USA,43921
Defensive pressures applied,1150.0,USA,43921
Attempt at goal outside the penalty area,17.0,USA,43921
Fouls for,39.0,USA,43921
Final third entries reception inside left channel,20.0,USA,43921
Linebreaks completed under pressure,240.0,USA,43921
Offers to receive outside,1488.0,USA,43921
Matches played,4.0,USA,43921
Attempt at goal off target,19.0,USA,43921
Goals inside the penalty area,3.0,USA,43921
Goalkeeper goal preventions,34.0,USA,43921
Linebreaks attempted under pressure,361.0,USA,43921
Direct defensive pressures applied,209.0,USA,43921
