objectid,zip,po_name,pop2012,white,black,ameri_es,asian,hawn_pi,hispanic,other,mult_race,med_age,ave_hh_sz,marhh_chd,families,ave_fam_sz,hse_units,sqmi
100,99565,Chignik Lagoon,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,-99,12.5
500,73737,Fairview,3599,3369,15,68,12,2,105,29,82,45.2,2.26,289,1029,2.78,1821,333.3
101,99648,Perryville,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,-99,45.0
501,73739,Goltry,354,327,1,5,1,0,7,3,5,47.6,2.39,26,97,2.92,178,61.4
102,99661,Sand Point,986,177,24,403,358,2,66,15,53,40.3,2.43,58,183,2.84,327,461.0
502,73741,Helena,1741,1292,211,92,7,0,115,30,45,44.8,2.39,54,196,2.86,358,115.2
503,73742,Hennessey,4366,3509,69,110,3,0,988,617,117,36.9,2.65,461,1217,3.15,1878,353.5
504,73744,Hitchcock,245,224,1,11,0,0,13,6,7,45.3,2.59,22,65,3.18,123,45.6
103,00004,W Kenai Peninsula Boroug,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,-99,6567.9
505,73747,Isabella,295,270,2,7,0,0,22,15,9,45.4,2.44,25,94,2.82,145,54.1
506,73749,Jet,429,410,1,9,1,0,11,6,9,47.6,2.05,39,123,2.67,401,84.0
104,99556,Anchor Point,2679,2270,5,119,20,1,63,9,112,45.9,2.35,208,677,2.94,1651,169.3
0,99742,Gambell,694,30,0,647,1,0,2,0,3,25.6,4.15,49,128,4.75,263,12.0
507,73750,Kingfisher,7340,6074,85,252,29,0,814,451,235,38.7,2.56,693,1974,3.03,3053,321.4
508,73753,Kremlin,525,854,5,18,7,1,27,7,21,42.8,2.68,107,281,2.94,367,64.4
509,73754,Lahoma,1055,995,18,31,9,6,45,10,30,36.7,2.42,101,306,2.9,477,39.8
510,73755,Longdale,684,552,0,57,1,0,45,21,28,44.4,2.23,59,191,2.79,685,62.0
105,99615,Kodiak,13655,7322,90,1358,2654,87,979,397,988,32.5,2.87,1332,3058,3.35,4817,4987.4
511,73756,Loyal,78,100,0,2,0,0,4,0,4,41.1,2.89,10,29,3.31,48,8.9
512,73759,Medford,1449,1443,6,33,2,1,51,30,42,46.6,2.31,123,434,2.85,857,422.9
106,99640,Nondalton,40,41,2,100,0,0,6,0,21,27.9,2.88,14,41,3.39,89,171.9
513,73760,Meno,493,434,3,11,2,0,91,49,17,40.3,2.48,54,153,2.91,229,71.8
1,99783,Wales,265,6,0,138,0,0,0,0,4,24.3,3.44,10,30,4.17,51,733.6
107,99647,Pedro Bay,312,127,5,306,1,0,17,1,63,27.3,3.28,38,111,3.82,260,19.7
514,73761,Nash,484,435,8,10,2,0,15,5,11,44.3,2.16,45,150,2.62,280,150.6
108,99653,Port Alsworth,211,2,0,4,0,0,0,0,1,0.0,2.33,1,2,3.0,59,491.2
515,73763,Okeene,1501,1396,5,28,5,0,120,64,29,43.1,2.39,136,417,2.97,728,161.1
109,00009,Lake Clark National Pres,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,-99,2768.9
516,73764,Omega,32,46,0,1,0,0,2,0,2,40.0,2.33,5,17,2.59,27,8.9
110,99667,Skwentna,30,47,0,3,1,0,0,0,2,49.2,1.86,3,16,2.38,608,1880.7
2,99785,Brevig Mission,399,30,2,348,0,0,3,1,7,23.2,4.02,20,73,4.32,111,517.6
517,73766,Pond Creek,1037,942,17,22,4,0,33,12,24,44.5,2.45,86,287,2.97,526,117.7
111,99682,Tyonek,378,164,3,139,2,0,11,3,10,44.5,2.13,9,41,2.98,205,1174.4
112,99691,Nikolai,96,35,0,40,0,1,2,0,18,39.0,2.54,7,22,3.23,48,5.5
518,73768,Ringwood,1499,1316,7,33,6,1,210,113,45,41.0,2.73,141,410,3.21,635,119.5
3,99546,Adak,525,75,8,153,46,2,16,6,17,40.8,4.39,9,27,5.52,503,859.3
519,73770,Southard,11,19,0,1,0,0,1,1,1,42.5,2.63,2,5,3.4,11,5.2
113,00006,Matanuska-Sustina Bor,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,-99,17480.5
520,73772,Watonga,4349,4924,292,376,17,3,2495,489,274,34.0,2.44,340,1152,3.01,2127,377.2
114,00198,E Mncplty of Anchorage,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99.0,-99.0,-99,-99,-99.0,-99,1201.0
115,99501,Anchorage,18766,9978,1493,2065,1109,617,1296,445,1302,36.6,1.96,684,2966,2.89,8358,5.8
521,73773,Waukomis,1762,1650,5,28,1,0,36,9,41,41.7,2.42,144,519,2.85,776,83.6
522,73719,Amorita,132,137,1,2,0,0,6,3,4,46.6,2.28,14,44,2.8,105,78.2
116,99502,Anchorage,24946,16372,741,1824,2216,489,1543,348,2052,33.9,2.72,2190,6201,3.15,9106,25.4
523,73722,Burlington,418,396,3,4,0,0,21,11,11,46.4,2.41,41,130,2.82,210,161.6
117,99503,Anchorage,14806,7479,801,1856,1851,483,1609,652,1424,33.6,2.23,716,2921,3.07,6621,3.3
524,73758,Manchester,155,155,1,1,0,0,5,3,4,51.8,2.04,10,43,2.72,101,71.1
118,99504,Anchorage,40008,23894,4129,3756,3365,1036,3178,828,4177,31.9,2.7,3244,9995,3.22,15756,7.3
525,73771,Wakita,452,445,3,4,1,0,14,9,13,51.7,2.05,29,124,2.71,293,96.7
4,99547,Atka,61,15,2,30,9,0,3,1,3,41.7,1.58,5,15,2.0,46,661.8
526,74632,Braman,592,525,3,23,6,1,18,10,23,48.4,2.39,44,181,2.78,385,102.6
119,99505,Jber,6286,4596,749,96,119,49,818,194,371,22.4,4.0,793,1117,4.1,1240,41.1
527,74641,Kaw City,530,137,0,14,0,0,3,1,6,48.1,2.38,12,47,2.83,102,88.4
528,74647,Newkirk,3763,3050,33,420,8,0,115,29,198,42.7,2.51,279,1002,2.97,1644,252.8
120,99506,Jber,6063,6219,825,109,283,60,985,209,549,22.1,3.13,1380,2041,3.32,2297,21.1
121,99507,Anchorage,39841,24176,1492,3146,3934,454,3005,1088,3236,32.9,2.71,3408,9340,3.21,14297,21.0
529,74652,Shidler,947,722,2,102,4,0,16,3,60,43.8,2.34,83,276,2.71,543,247.3
122,99508,Anchorage,37920,17411,3307,4335,4241,1794,3388,1341,3606,30.6,2.69,2307,7832,3.34,13598,8.0
530,73027,Coyle,2964,1075,1651,63,11,2,81,13,85,22.3,2.52,124,433,3.11,846,112.0
123,99515,Anchorage,22684,15349,701,1598,2231,164,1745,582,1810,34.9,2.79,2230,5876,3.18,8280,11.7
531,73028,Crescent,3370,2799,103,151,9,1,104,27,179,42.0,2.41,255,905,2.91,1611,115.2
124,99516,Anchorage,20625,17245,313,676,793,28,706,161,853,42.6,2.91,2352,5728,3.14,7105,45.5
